factor,exact_match,closest_reference,max_abs_correlation
cross__cxt_bi_end_V230618__di_1__daily_weekly::看空,False,raw__daily__cxt_five_bi_V230619__di_1,0.18277907002792138
cross__cxt_bi_end_V230618__di_1__all::看空,False,raw__daily__cxt_five_bi_V230619__di_1,0.06639970713223863
cross__cxt_bi_end_V230618__di_1__30m_daily_divergence,False,target_position,0.15759359370445913
cross__cxt_bi_end_V230618__di_1__daily_weekly_divergence,False,target_position,0.13874966883461723
cross__cxt_bi_end_V230815__di_1__30m_daily_divergence,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.11101636486425238
cross__cxt_bi_end_V230815__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.1299514594605168
cross__cxt_bi_status_V230101__di_1__30m_daily::向上,False,raw__30m__cxt_bi_status_V230101,0.5272706811560803
cross__cxt_bi_status_V230101__di_1__daily_weekly::向上,False,raw__daily__cxt_bi_status_V230101,0.4792094053215306
cross__cxt_bi_status_V230101__di_1__all::向上,False,raw__30m__cxt_bi_status_V230101,0.3073507956738429
cross__cxt_bi_status_V230101__di_1__30m_daily::向下,False,raw__daily__cxt_bi_status_V230101,0.5875464113501336
cross__cxt_bi_status_V230101__di_1__daily_weekly::向下,False,raw__weekly__cxt_bi_status_V230101,0.578861899327218
cross__cxt_bi_status_V230101__di_1__all::向下,False,raw__weekly__cxt_bi_status_V230101,0.413050343174374
cross__cxt_bi_status_V230101__di_1__30m_daily_divergence,False,raw__daily__cxt_bi_status_V230101,0.1549257058665114
cross__cxt_bi_status_V230101__di_1__daily_weekly_divergence,False,raw__weekly__cxt_bi_status_V230101,0.15072279678876585
cross__cxt_bi_status_V230102__di_1__30m_daily::向上,False,raw__30m__cxt_bi_status_V230101,0.22333543674615774
cross__cxt_bi_status_V230102__di_1__daily_weekly::向上,False,raw__daily__cxt_bi_status_V230101,0.19852682429221816
cross__cxt_bi_status_V230102__di_1__all::向上,False,raw__30m__cxt_bi_status_V230101,0.0887911316134158
cross__cxt_bi_status_V230102__di_1__30m_daily::向下,False,raw__daily__cxt_bi_status_V230101,0.19154026583738765
cross__cxt_bi_status_V230102__di_1__daily_weekly::向下,False,raw__daily__cxt_five_bi_V230619__di_1,0.25556083573015886
cross__cxt_bi_status_V230102__di_1__all::向下,False,raw__weekly__cxt_bi_status_V230101,0.05937818584097101
cross__cxt_bi_status_V230102__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.07471128799093642
cross__cxt_bi_status_V230102__di_1__daily_weekly_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.07388258933462917
cross__cxt_bi_stop_V230815__di_1__daily_weekly::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.33053022495867157
cross__cxt_bi_stop_V230815__di_1__all::向上,False,raw__30m__cxt_third_buy_V230228__di_1,0.24573056497583282
cross__cxt_bi_stop_V230815__di_1__daily_weekly::向下,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.3548330630798088
cross__cxt_bi_stop_V230815__di_1__all::向下,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.21367252603322268
cross__cxt_bi_stop_V230815__di_1__daily_weekly_divergence,False,raw__daily__cxt_bi_status_V230101,0.1479633686305338
cross__cxt_bi_trend_V230824__di_1__30m_daily::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.16460954991292057
cross__cxt_bi_trend_V230824__di_1__daily_weekly::向上,False,raw__weekly__cxt_bi_status_V230101,0.17786570714301717
cross__cxt_bi_trend_V230824__di_1__all::向上,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08891185461926503
cross__cxt_bi_trend_V230824__di_1__30m_daily::向下,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.17585926950799144
cross__cxt_bi_trend_V230824__di_1__daily_weekly::向下,False,raw__daily__cxt_seven_bi_V230620__di_1,0.1177331073790276
cross__cxt_bi_trend_V230824__di_1__all::向下,False,raw__daily__cxt_bi_status_V230101,0.132669509288802
cross__cxt_bi_trend_V230824__di_1__30m_daily::横盘,False,raw__weekly__cxt_bi_status_V230101,0.11987225886037388
