factor,year,endpoint,effect,matched_strata,references
cross__cxt_bi_base_V230228__di_1__all::向下,2022,max_drawdown_20,0.018959461781562527,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2023,max_drawdown_20,0.007031614029262188,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2024,max_drawdown_20,-0.002348074201520563,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2025,max_drawdown_20,-0.03262901954995826,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2021,return_20,-0.0011821540103453673,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2022,return_20,0.0056937338943367465,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2023,return_20,0.0009531763562303092,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2024,return_20,-0.0006583711221093441,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2025,return_20,-0.0018189488286941308,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.004026613130713021,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2022,max_drawdown_20,0.004528105882477855,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2023,max_drawdown_20,-0.002710553547869787,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2024,max_drawdown_20,0.003586774635388277,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,2025,max_drawdown_20,0.0032123561016191475,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2021,return_20,0.022374081066926933,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2022,return_20,-0.024378253931718136,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2023,return_20,-0.00635007850305356,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2024,return_20,0.05736646535108148,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2025,return_20,0.011460114242486196,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2021,max_drawdown_20,-7.536661377914255e-05,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2022,max_drawdown_20,-0.014705743814330234,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2023,max_drawdown_20,0.001971541034233375,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2024,max_drawdown_20,-0.0011243743641890893,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,2025,max_drawdown_20,0.011376888504883402,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2021,return_20,-0.017630864632230805,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2022,return_20,-0.010601255116577168,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2023,return_20,0.001351175748504514,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2024,return_20,0.007788099355998603,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2025,return_20,-0.008110954239305,2,['target_position']
