cost_bp_one_way,max_drawdown,calmar,win_loss_ratio,return,sharpe,closed_trades
72,-0.18739991894531005,-0.04654344520193076,0.9623489923526853,-0.04677531262853307,-0.12360728058526871,25
73,-0.18975375647273496,-0.05083559587310928,0.9428352389063652,-0.05162394953328975,-0.139512969601871,25
74,-0.19210078720148716,-0.05502002927804708,0.9237019403872485,-0.05644792113302277,-0.15536534256640244,25
75,-0.19444103082878517,-0.05910108376819941,0.904938077756664,-0.061247353009612926,-0.17116350959700438,25
76,-0.19677450699467436,-0.06308286797550876,0.8865330534300249,-0.06602237010451228,-0.1869066018659595,25
77,-0.1991012352821937,-0.06696927581749322,1.0204393461406536,-0.07077309672201915,-0.20259377165228565,25
78,-0.20142123521754263,-0.07076400034135653,0.9998327335669703,-0.07549965653253266,-0.21822419237990642,25
79,-0.2037345262702468,-0.0744705465105911,0.9796381848497242,-0.08020217257579842,-0.23379705864183395,25
80,-0.20604112785332296,-0.07809224302711466,0.9598434624795165,-0.0848807672641243,-0.2493115862103804,25
81,-0.20834105932344604,-0.0816322532727834,0.9404368087712083,-0.0895355623855969,-0.2647670120339432,25
82,-0.21063433998110825,-0.08509358544584748,0.9214069225751994,-0.09416667910726306,-0.28016259422047535,25
83,-0.21292098907079038,-0.08847910196063866,0.902742937332149,-0.09877423797831031,-0.2954976120080221,25
84,-0.21520102578111766,-0.09179152817221105,0.8844344003814543,-0.1033583589332211,-0.31077136572260217,25
85,-0.217973209144676,-0.09481601642651873,0.8664712534407717,-0.10791916129491641,-0.3259831767238342,25
86,-0.22109529620586077,-0.09760596520993438,0.8488438141799975,-0.11245676377788494,-0.34113238733849277,25
87,-0.22434496519206504,-0.10025737393511504,0.8315427588187356,-0.11697128449128524,-0.356218360782455,25
88,-0.2275961330264722,-0.10282865402019702,0.8145591056815906,-0.1214628409420444,-0.3712404810713082,25
89,-0.23083367923656672,-0.10533004344048455,0.7978841996502553,-0.12593155003793477,-0.38619815292001003,25
90,-0.23405766093425795,-0.10776485632652782,0.7815096974559449,-0.13037752809063796,-0.401090801631882,25
91,-0.23726813499156307,-0.11013620119441792,0.7654275537596119,-0.13480089081879298,-0.41591787297736743,25
92,-0.2404651580416043,-0.11244699664496279,0.7496300079711633,-0.13920175335100848,-0.43067883306276744,25
93,-0.24364878647963883,-0.11469998564610866,0.7341095717622447,-0.14358023022890953,-0.44537316818958356,25
94,-0.24681907646404322,-0.11689774854550902,0.7188590172305286,-0.14793643541011414,-0.4600003847045,25
95,-0.24997608391731885,-0.11904271494307915,0.7038713656760192,-0.15227048227122708,-0.4745600088405441,25
96,-0.253119864527079,-0.12113717453836316,0.689139876952929,-0.15658248361080307,-0.48905158654978675,25
97,-0.25625047374704724,-0.12318328705452614,0.6746580393628542,-0.16087255165230663,-0.5034746833279011,25
98,-0.25936796679803586,-0.12518309132940042,0.7785951882175385,-0.16514079804704895,-0.5178288840309145,25
99,-0.26247239866892735,-0.12713851365400944,0.7625412679299609,-0.16938733387710792,-0.5321137926845381,25
100,-0.26556382411765644,-0.12905137543026568,0.7467714096093816,-0.17361226965824295,-0.5463290322864828,25
