state_id,signal_id,frequency,name,namespace,s001_reference_function,state_primary,horizon,episode_count,coverage_years,max_year_share,positive_years,negative_years,year_sign_consistency,forward_bias,evidence_quality,behavior_sha256,event_count,raw_return_mean,raw_return_median,net_return_mean,net_return_median,net_win_rate,net_return_std,standardized_effect,mfe_mean,mfe_median,mae_mean,mae_median
STATE-5650A516018E3CF6,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,买点,5,42,6,0.2619047619047619,3,3,0.5,POSITIVE,OK,35c33cdd8975210d6a9458ae5c3388d1f6dec51ea3778767b754ff93f2faaa66,42,0.0027569080310741166,0.0030222604501599637,0.0017546522509332076,0.0020197394502098343,0.5238095238095238,0.022921832808230787,0.07654938702384854,0.019300615822957803,0.014697351094590583,-0.018872679857930525,-0.014887947954253744
STATE-5650A516018E3CF6,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,买点,10,42,6,0.2619047619047619,5,1,0.8333333333333334,POSITIVE,OK,35c33cdd8975210d6a9458ae5c3388d1f6dec51ea3778767b754ff93f2faaa66,42,0.005841878785133312,0.005926857915065531,0.004836539575952859,0.004921433769223493,0.5476190476190477,0.03339803347848717,0.14481510053782784,0.0280698662462562,0.02006338110190875,-0.0279337436463327,-0.0210526848000816
STATE-5650A516018E3CF6,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,买点,20,42,6,0.2619047619047619,5,1,0.8333333333333334,POSITIVE,OK,35c33cdd8975210d6a9458ae5c3388d1f6dec51ea3778767b754ff93f2faaa66,42,0.01776317109580963,0.011289528731389109,0.016745916551985835,0.01027874459472633,0.6190476190476191,0.0629440994074839,0.2660442632370841,0.052301834456264365,0.03397331104609391,-0.03532942005206019,-0.0249801608002706
STATE-74C2A81468C14C90,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,其他,1,70,6,0.22857142857142856,3,3,0.5,POSITIVE,OK,894f39ce1bb858e53f3f00ff86ce415635c5a4b8fdf560822177f24dd846f5fa,70,0.00216877435138528,-0.000709345019357821,0.001167106411004212,-0.0017081362787087495,0.4714285714285714,0.011882202272030327,0.09822307214475545,0.009069254379487255,0.006476102116993676,-0.0071495728865330465,-0.0059535908115230796
STATE-74C2A81468C14C90,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,其他,3,70,6,0.22857142857142856,3,3,0.5,POSITIVE,OK,894f39ce1bb858e53f3f00ff86ce415635c5a4b8fdf560822177f24dd846f5fa,70,0.003916812437217208,0.0012299999159572916,0.00291339733233253,0.00022927028085895085,0.5142857142857142,0.024976254479432237,0.11664668674527205,0.01679141362954648,0.012872795386485891,-0.013217685305216654,-0.010993023845125016
STATE-74C2A81468C14C90,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,其他,5,70,6,0.22857142857142856,4,2,0.6666666666666666,POSITIVE,OK,894f39ce1bb858e53f3f00ff86ce415635c5a4b8fdf560822177f24dd846f5fa,70,0.008233988781308751,0.0027882199490235626,0.007226258657589428,0.001785932872612861,0.5285714285714286,0.04250446651212029,0.17001174818954232,0.023915308473192242,0.015484496183838181,-0.017584045783121765,-0.014739231100850347
STATE-74C2A81468C14C90,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,其他,10,70,6,0.22857142857142856,4,2,0.6666666666666666,POSITIVE,OK,894f39ce1bb858e53f3f00ff86ce415635c5a4b8fdf560822177f24dd846f5fa,69,0.0031882941372340387,0.002437241043139249,0.0021856071865722555,0.0014353047702326815,0.5072463768115942,0.0411458014335893,0.053118595589878075,0.03153690339019997,0.02033898305084758,-0.027679271072940805,-0.020570749108204556
STATE-74C2A81468C14C90,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,其他,20,70,6,0.22857142857142856,4,2,0.6666666666666666,POSITIVE,OK,894f39ce1bb858e53f3f00ff86ce415635c5a4b8fdf560822177f24dd846f5fa,69,0.014507896753405393,0.006336826712161736,0.013493895857100268,0.005330992802404788,0.5072463768115942,0.062106285959242405,0.21727101610867075,0.05020481167276936,0.03460503790657854,-0.03525540031180356,-0.026315789473684292
STATE-290175EE92858D72,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,卖点,1,28,6,0.17857142857142858,3,3,0.5,NEGATIVE,OK,d047e7958cee64fafe280df2029454a7236b4e55672d08151f15ee1af57d8253,28,0.0009425563154000703,0.0008161202076489849,-5.7886019747619265e-05,-0.00018419575457745418,0.5,0.010281258112221074,-0.005630246718425599,0.007593382140665802,0.005636420383611451,-0.006241313101704893,-0.004965616390818828
STATE-290175EE92858D72,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,卖点,3,28,6,0.17857142857142858,3,3,0.5,NEGATIVE,OK,d047e7958cee64fafe280df2029454a7236b4e55672d08151f15ee1af57d8253,28,0.0001891145075239496,-0.003635479688850418,-0.0008105747623485578,-0.004631346275867976,0.42857142857142855,0.024638180504628807,-0.032899132393168155,0.01363090064371869,0.008804789987136408,-0.014184137725443064,-0.010791187397189317
