rank,candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,continuous_quality_pass,annual_double_wins,pass,maximin_improvement,drawdown_relative_improvement,calmar_relative_improvement,win_loss_relative_improvement,weight_shift,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,start,end
185,491,1.25,1.5,1.25,0.75,False,0,False,,,,,0.3198228472867846,0.7281544559576782,0.12046514991803581,-0.3110655788909972,0.38726608822330966,4.003653216635234,67,20,47,True,0.702239356476606,0.5420792079207921,135,2021-01-04,2025-12-31
186,32,0.5,0.75,0.75,1.0,False,0,False,,,,,0.320614929718996,0.7124886044136665,0.11834565405704045,-0.3788086514611333,0.31241539389493855,3.7129163296177468,70,22,48,True,0.6875718695299246,0.5932343234323433,141,2021-01-04,2025-12-31
187,176,0.75,1.0,0.5,0.75,False,0,False,,,,,0.320614929718996,0.4653245247852926,0.08268243481431248,-0.45143617793498225,0.18315420618819067,3.313299332840534,67,21,46,True,0.5279328672313008,0.608085808580858,135,2021-01-04,2025-12-31
188,497,1.25,1.5,1.5,1.0,False,0,False,,,,,0.32360090733485186,0.7077277728698579,0.11769849982297909,-0.3192087428540158,0.36871953684804404,3.900034528861203,66,20,46,True,0.6900501954293953,0.5412541254125413,133,2021-01-04,2025-12-31
189,569,1.5,1.0,1.25,1.5,False,0,False,,,,,0.32360090733485186,0.43533811458842986,0.0780379393065953,-0.3420763927530599,0.2281301515095483,3.991867465236775,73,20,53,True,0.5127266565014241,0.5750825082508251,147,2021-01-04,2025-12-31
190,373,1.0,1.5,1.5,1.25,False,0,False,,,,,0.3242307421803456,0.612676273395389,0.10446861033532495,-0.3362081970175306,0.31072594678552035,3.576376864054626,68,21,47,True,0.6266503595218846,0.5676567656765676,137,2021-01-04,2025-12-31
191,589,1.5,1.25,1.0,1.5,False,0,False,,,,,0.3242307421803456,0.32861098415059664,0.06085731743186695,-0.3981844081777489,0.15283701767825209,4.17659368402422,76,19,57,True,0.43079773355275525,0.6097359735973598,153,2021-01-04,2025-12-31
192,624,1.5,1.5,1.5,1.5,False,0,False,,,,,0.32581822942768357,0.6973301618082157,0.1162801371591855,-0.3224719051450906,0.3605899779296038,4.879645709557494,65,17,48,True,0.6827156490412755,0.5676567656765676,131,2021-01-04,2025-12-31
193,289,1.0,0.75,1.0,1.5,False,0,False,,,,,0.3283234365951109,0.48766991476639654,0.08609472606399593,-0.32949859468250686,0.2612901161140118,4.35429068301329,72,19,53,True,0.548469405936048,0.5973597359735974,145,2021-01-04,2025-12-31
194,361,1.0,1.5,1.0,0.75,False,0,False,,,,,0.3283234365951109,0.6462193585979128,0.10920621671458575,-0.34011823188973445,0.321083101331628,3.431483287407372,65,21,44,True,0.648457654553091,0.5577557755775577,131,2021-01-04,2025-12-31
195,164,0.75,0.75,1.0,1.5,False,0,False,,,,,0.329419362431597,0.5262377320167684,0.09188995429583136,-0.3558995768768509,0.25819068148998475,4.503027550774211,72,19,53,True,0.5734587121532527,0.6023102310231023,145,2021-01-04,2025-12-31
196,356,1.0,1.5,0.75,0.75,False,0,False,,,,,0.329419362431597,0.6507008924178099,0.1098333812108887,-0.38575238858635497,0.2847250839155887,3.9438266821337153,67,20,47,True,0.6496740379231565,0.5783828382838284,135,2021-01-04,2025-12-31
197,12,0.5,0.5,1.0,1.0,False,0,False,,,,,0.330161940738855,0.9645522159343816,0.15073572227308363,-0.2765280607282994,0.5451009994287267,4.0543269522104675,67,22,45,True,0.8361013144188262,0.5247524752475248,135,2021-01-04,2025-12-31
198,300,1.0,1.0,0.5,0.5,False,0,False,,,,,0.330161940738855,0.8442117546879491,0.13571036437720663,-0.2679598073553462,0.5064579114181805,4.650329360158176,64,19,45,True,0.7792468524568452,0.5338283828382838,129,2021-01-04,2025-12-31
199,315,1.0,1.0,1.25,0.5,False,0,False,,,,,0.3307364915156464,0.9703368261807146,0.15143940710571768,-0.2247874441711586,0.6737004714124871,3.6798315757352222,68,24,44,True,0.8538598167359805,0.5,137,2021-01-04,2025-12-31
200,387,1.25,0.5,1.0,1.0,False,0,False,,,,,0.3307364915156464,0.6022253443246803,0.10297658386701602,-0.30501333198457947,0.33761338626411974,3.505826926814524,71,23,48,True,0.6315110282663305,0.5214521452145214,143,2021-01-04,2025-12-31
201,48,0.5,0.75,1.5,1.25,False,0,False,,,,,0.3338217733784,0.7336588261821035,0.12120624548975512,-0.317956973142545,0.38120329392938485,3.3059068951957307,68,23,45,True,0.7044003583308508,0.5462046204620462,137,2021-01-04,2025-12-31
202,576,1.5,1.25,0.5,0.75,False,0,False,,,,,0.3338217733784,0.385702149950542,0.070178239295833,-0.4049850534626722,0.17328599832463049,3.5378818350789967,69,20,49,True,0.47451890480808323,0.5915841584158416,139,2021-01-04,2025-12-31
203,224,0.75,1.25,1.5,1.5,False,0,False,,,,,0.3339153263945332,0.411548343372965,0.07429823025098536,-0.4360551345768985,0.17038723858412186,3.7282799696433258,68,19,49,True,0.4913856780204447,0.5882838283828383,137,2021-01-04,2025-12-31
204,608,1.5,1.5,0.75,1.25,False,0,False,,,,,0.3339153263945332,0.3786909467497934,0.06905013639257063,-0.41155901602885236,0.1677769984456612,3.966710443472364,67,18,49,True,0.46686958803029355,0.6270627062706271,135,2021-01-04,2025-12-31
205,112,0.5,1.5,1.0,1.0,False,0,False,,,,,0.3352136800913615,0.5527712517995571,0.09580989821046848,-0.4236351419813874,0.22616135611969115,3.5465392202027206,72,22,50,True,0.5827829243929112,0.6171617161716172,145,2021-01-04,2025-12-31
206,304,1.0,1.0,0.5,1.5,False,0,False,,,,,0.3352136800913615,0.36700030259983074,0.06715896480447836,-0.3956427031363222,0.1697465017605497,2.949288351806547,54,18,36,True,0.4560172790874347,0.6542904290429042,109,2021-01-04,2025-12-31
207,455,1.25,1.25,0.75,0.5,False,0,False,,,,,0.336821429234037,0.8943705872523355,0.14206475881558012,-0.25083931933850967,0.5663576156649611,4.161257114848571,64,20,44,True,0.8015616935874891,0.5313531353135313,129,2021-01-04,2025-12-31
208,36,0.5,0.75,1.0,0.75,False,0,False,,,,,0.33791446779316536,0.7697183048748122,0.12601564777732865,-0.3219745160036862,0.39138391864493377,3.1657374235992473,65,23,42,True,0.7266987211733313,0.5363036303630363,131,2021-01-04,2025-12-31
209,276,1.0,0.75,0.5,0.75,False,0,False,,,,,0.33791446779316536,0.551595932820373,0.09563738925928345,-0.3370754043939328,0.2837269881237436,3.654323217771231,65,20,45,True,0.5934907596325495,0.5792079207920792,131,2021-01-04,2025-12-31
210,68,0.5,1.0,1.25,1.25,False,0,False,,,,,0.3389679193723973,0.45789143734074633,0.08153821702917274,-0.42202913493810923,0.19320518485324564,3.8341824790091654,68,19,49,True,0.5250216251724162,0.58003300330033,137,2021-01-04,2025-12-31
