event_id,window,signal_date,execution_date,event_type,regime,baseline_episode_id,path_mechanism,block_label,baseline_score,ex04_score,baseline_enter_threshold,ex04_enter_threshold,baseline_exit_threshold,ex04_exit_threshold,baseline_margin,ex04_margin,weights_only_condition,thresholds_only_condition
2023H1:missed_baseline_entry:20230223,2023H1,2023-02-23,2023-02-24,missed_baseline_entry,sideways,2023H1:E003,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2023H1:missed_baseline_entry:20230509,2023H1,2023-05-09,2023-05-10,missed_baseline_entry,sideways,2023H1:E007,late_entry,independent_double_block,0.15000000000000002,0.14227701571044177,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03272298428955822,False,False
2023H1:missed_baseline_entry:20230524,2023H1,2023-05-24,2023-05-25,missed_baseline_entry,sideways,2023H1:E008,late_entry,independent_double_block,0.15000000000000002,0.1184889088300129,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.05651109116998709,False,False
2023H2:missed_baseline_entry:20230829,2023H2,2023-08-29,2023-08-30,missed_baseline_entry,downtrend,2023H2:E003,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2023H2:missed_baseline_entry:20231222,2023H2,2023-12-22,2023-12-25,missed_baseline_entry,sideways,2023H2:E007,fully_missed_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H1:missed_baseline_entry:20240125,2024H1,2024-01-25,2024-01-26,missed_baseline_entry,downtrend,2024H1:E002,fully_missed_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H1:missed_baseline_entry:20240206,2024H1,2024-02-06,2024-02-07,missed_baseline_entry,downtrend,2024H1:E003,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H1:missed_baseline_entry:20240328,2024H1,2024-03-28,2024-03-29,missed_baseline_entry,downtrend,2024H1:E005,fully_missed_entry,independent_double_block,0.15000000000000002,0.14227701571044177,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03272298428955822,False,False
2024H1:missed_baseline_entry:20240531,2024H1,2024-05-31,2024-06-03,missed_baseline_entry,sideways,2024H1:E008,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H2:missed_baseline_entry:20240710,2024H2,2024-07-10,2024-07-11,missed_baseline_entry,sideways,2024H2:E001,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H2:missed_baseline_entry:20240830,2024H2,2024-08-30,2024-09-02,missed_baseline_entry,sideways,2024H2:E003,fully_missed_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2024H2:missed_baseline_entry:20241129,2024H2,2024-11-29,2024-12-02,missed_baseline_entry,uptrend,2024H2:E006,late_entry,independent_double_block,0.15,0.1431802668547042,0.15,0.175,0.0,0.025,0.0,-0.03181973314529579,False,False
2025H2:missed_baseline_entry:20251021,2025H2,2025-10-21,2025-10-22,missed_baseline_entry,uptrend,2025H2:E002,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2025H2:missed_baseline_entry:20251201,2025H2,2025-12-01,2025-12-02,missed_baseline_entry,sideways,2025H2:E003,fully_missed_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,2021-06-17,early_ex04_exit,uptrend,2021H1:E003,interrupted_holding,joint_margin_block,0.05000000000000002,0.023336481308297602,0.15,0.175,0.0,0.025,0.05000000000000002,-0.0016635186917023995,False,False
2021H2:early_ex04_exit:20210706,2021H2,2021-07-06,2021-07-07,early_ex04_exit,uptrend,2021H2:E001,interrupted_holding,joint_margin_block,0.05000000000000002,0.023336481308297602,0.15,0.175,0.0,0.025,0.05000000000000002,-0.0016635186917023995,False,False
2021H2:early_ex04_exit:20211223,2021H2,2021-12-23,2021-12-24,early_ex04_exit,sideways,2021H2:E013,early_exit,joint_margin_block,0.050000000000000044,0.02333648130829763,0.15,0.175,0.0,0.025,0.050000000000000044,-0.0016635186917023717,False,False
2022H1:early_ex04_exit:20220120,2022H1,2022-01-20,2022-01-21,early_ex04_exit,sideways,2022H1:E002,early_exit,independent_double_block,2.7755575615628914e-17,-0.012046469230490242,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.037046469230490243,True,True
2022H1:early_ex04_exit:20220303,2022H1,2022-03-03,2022-03-04,early_ex04_exit,downtrend,2022H1:E004,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2022H1:early_ex04_exit:20220324,2022H1,2022-03-24,2022-03-25,early_ex04_exit,downtrend,2022H1:E005,early_exit,independent_double_block,2.7755575615628914e-17,-0.012046469230490242,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.037046469230490243,True,True
2022H2:early_ex04_exit:20221121,2022H2,2022-11-21,2022-11-22,early_ex04_exit,downtrend,2022H2:E004,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2023H1:early_ex04_exit:20230208,2023H1,2023-02-08,2023-02-09,early_ex04_exit,sideways,2023H1:E002,interrupted_holding,joint_margin_block,0.05000000000000002,0.023336481308297602,0.15,0.175,0.0,0.025,0.05000000000000002,-0.0016635186917023995,False,False
2023H1:early_ex04_exit:20230606,2023H1,2023-06-06,2023-06-07,early_ex04_exit,sideways,2023H1:E008,interrupted_holding,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2023H1:early_ex04_exit:20230626,2023H1,2023-06-26,2023-06-27,early_ex04_exit,sideways,2023H1:E008,early_exit,joint_margin_block,0.050000000000000044,0.02333648130829763,0.15,0.175,0.0,0.025,0.050000000000000044,-0.0016635186917023717,False,False
2023H2:early_ex04_exit:20230706,2023H2,2023-07-06,2023-07-07,early_ex04_exit,downtrend,2023H2:E001,early_exit,independent_double_block,5.551115123125783e-17,-0.024239732452560003,0.15,0.175,0.0,0.025,5.551115123125783e-17,-0.049239732452560005,True,True
2023H2:early_ex04_exit:20230808,2023H2,2023-08-08,2023-08-09,early_ex04_exit,sideways,2023H2:E002,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2023H2:early_ex04_exit:20230907,2023H2,2023-09-07,2023-09-08,early_ex04_exit,sideways,2023H2:E003,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2024H1:early_ex04_exit:20240103,2024H1,2024-01-03,2024-01-04,early_ex04_exit,sideways,2024H1:E001,early_exit,joint_margin_block,0.05000000000000002,0.023336481308297602,0.15,0.175,0.0,0.025,0.05000000000000002,-0.0016635186917023995,False,False
2024H2:early_ex04_exit:20240724,2024H2,2024-07-24,2024-07-25,early_ex04_exit,sideways,2024H2:E001,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2024H2:early_ex04_exit:20241030,2024H2,2024-10-30,2024-10-31,early_ex04_exit,uptrend,2024H2:E004,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2025H1:early_ex04_exit:20250311,2025H1,2025-03-11,2025-03-12,early_ex04_exit,uptrend,2025H1:E002,early_exit,independent_double_block,2.7755575615628914e-17,-0.02423973245256003,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.04923973245256003,True,True
2025H1:early_ex04_exit:20250418,2025H1,2025-04-18,2025-04-21,early_ex04_exit,sideways,2025H1:E004,interrupted_holding,joint_margin_block,0.049999999999999996,0.023336481308297546,0.15,0.175,0.0,0.025,0.049999999999999996,-0.001663518691702455,False,False
2025H1:early_ex04_exit:20250613,2025H1,2025-06-13,2025-06-16,early_ex04_exit,sideways,2025H1:E007,interrupted_holding,joint_margin_block,0.050000000000000044,0.02333648130829763,0.15,0.175,0.0,0.025,0.050000000000000044,-0.0016635186917023717,False,False
2025H2:early_ex04_exit:20251014,2025H2,2025-10-14,2025-10-15,early_ex04_exit,uptrend,2025H2:E001,early_exit,joint_margin_block,0.05000000000000002,0.011143218086227785,0.15,0.175,0.0,0.025,0.05000000000000002,-0.013856781913772216,False,False
