window,regime,position_combination,path_mechanism,trading_days,market_return_sum,baseline_exposure,ex04_exposure,baseline_daily_return_sum,ex04_daily_return_sum,daily_return_delta_sum,log_wealth_delta
2021H2,downtrend,baseline_only,fully_missed_entry,5,-0.013996583687372999,1.0,0.0,-0.01658786674969459,0.0,0.01658786674969459,0.01693468582771522
2021H2,downtrend,both_long,both_long,14,0.034329810662380056,1.0,1.0,0.03310028544124399,0.033100285441244215,2.220446049250313e-16,2.2562247209423347e-16
2021H2,sideways,baseline_only,early_exit,2,-0.015600706713780887,1.0,0.0,-0.015600706713780998,-0.0004999999999999449,0.015100706713781054,0.015169711255850135
2022H1,sideways,both_long,both_long,22,-0.09490566105380849,1.0,1.0,-0.09823145200555805,-0.09823145200555838,-3.3306690738754696e-16,-3.078049967686347e-16
2022H1,sideways,both_cash,both_cash,13,-0.0219642197200155,0.0,0.0,-0.00464572218135606,-0.0026404510970187145,0.0020052710843373456,0.002007284332253638
2022H1,sideways,baseline_only,early_exit,1,-0.01263940520446094,1.0,0.0,-0.01263940520446094,-0.0019862453531598323,0.010653159851301108,0.010731741445176109
2022H1,downtrend,both_cash,both_cash,42,-0.13642901074099556,0.0,0.0,-0.007674872379605624,-0.0013185913185913556,0.006356281061014268,0.0064037214439051394
2022H1,downtrend,both_long,both_long,33,0.12375213269747098,1.0,1.0,0.12991550736136925,0.16291555085034315,0.033000043488973896,0.03297848081555311
2022H1,downtrend,baseline_only,early_exit,4,-0.08196201202445097,1.0,0.0,-0.08196201202445097,-0.005017282958199254,0.07694472906625172,0.07800075230683504
2022H1,downtrend,baseline_only,late_entry,2,0.01586470267321327,1.0,0.0,0.017967463164486608,0.0,-0.017967463164486608,-0.01788395446911724
2022H2,sideways,both_long,both_long,30,-0.005880190172471655,1.0,1.0,-0.005769462832519334,-0.005769462832519445,-1.1102230246251565e-16,-1.1503385050071202e-16
2022H2,uptrend,both_long,both_long,20,0.004920437954562873,1.0,1.0,0.0018075851455595648,0.0018075851455595648,0.0,0.0
2022H2,sideways,both_cash,both_cash,38,-0.09431983580472691,0.0,0.0,-0.007986393224339694,-0.01291322312776677,-0.004926829903427077,-0.004875050566945632
2022H2,uptrend,both_cash,both_cash,5,-0.026866850825186805,0.0,0.0,-0.008349476439790449,-0.008349476439790449,0.0,0.0
2022H2,sideways,baseline_only,fully_missed_entry,4,-0.021339255957636416,1.0,0.0,-0.014520469426280824,0.0,0.014520469426280824,0.014781628014700475
2022H2,downtrend,baseline_only,fully_missed_entry,2,-0.00785432516201745,1.0,0.0,-0.00785432516201734,0.0,0.00785432516201734,0.007968169649176746
2022H2,downtrend,both_cash,both_cash,12,-0.012121280448688099,0.0,0.0,-0.005497500000000044,0.0,0.005497500000000044,0.005512666865226624
2022H2,downtrend,both_long,both_long,13,0.0481713065962831,1.0,1.0,0.0632036669141095,0.06320366691411006,5.551115123125783e-16,5.499073418846478e-16
2022H2,sideways,baseline_only,early_exit,1,-0.013182674199623379,1.0,0.0,-0.013182674199623379,-0.0014411487758946295,0.01174152542372875,0.011828148691313302
2023H1,sideways,both_long,both_long,65,-0.004801766639859317,1.0,1.0,0.009584421026599843,0.008874704720350457,-0.0007097163062493861,-0.0006796081448262304
2023H1,sideways,both_cash,both_cash,18,-0.0032436316194542902,0.0,0.0,-0.012562291128330405,-0.012562291128330405,0.0,-6.505213034913027e-19
2023H1,sideways,baseline_only,interrupted_holding,4,0.034050354074142475,1.0,0.0,0.034050354074142475,-0.001044187862890289,-0.035094541937032764,-0.034391753352356155
2023H1,sideways,baseline_only,late_entry,9,-0.0005569579116677659,1.0,0.0,-0.0001864466053189684,0.0,0.0001864466053189684,0.00043893985577894007
2023H1,uptrend,both_long,both_long,18,0.03256840884909806,1.0,1.0,0.03256840884909806,0.03256840884909784,-2.220446049250313e-16,-1.9905951886833861e-16
2023H1,sideways,baseline_only,early_exit,4,-0.0048073133205414065,1.0,0.0,-0.0048073133205415175,-0.0004999999999999449,0.0043073133205415726,0.004342499434105718
2023H2,sideways,baseline_only,late_entry,1,0.002912621359223211,1.0,0.0,0.002411415651397464,0.0,-0.002411415651397464,-0.0024085128543059058
2023H2,sideways,both_long,both_long,36,-0.0740151684994006,1.0,1.0,-0.06450840814418057,-0.06306090448683577,0.0014475036573448063,0.0014381100610277326
