mechanical_rank,state_id,frequency,name,namespace,state_primary,forward_bias,minimum_event_count,coverage_years,minimum_year_sign_consistency,median_absolute_standardized_effect,net_return_h3,net_return_h5,net_return_h10,mfe_h5,mae_h5,exact_duplicate_group
16,STATE-144CF74A23ED9C58,30m,tas_macd_dist_V230408,tas,第10层,POSITIVE,100,6,0.8333333333333334,0.2465819938768853,0.007437211431442,0.0083059982055088,0.0117508377355484,0.0270088237199847,-0.0147281863729057,0
17,STATE-F6DF6A9715F944FB,30m,tas_macd_dist_V230409,tas,多头远离,POSITIVE,52,6,0.8333333333333334,0.2289260754973255,0.0054911871625494,0.0099948061330562,0.0098184697231789,0.0276260074277822,-0.0128832305881243,0
18,STATE-2322DA8ACD934738,30m,tas_boll_vt_V230212,tas,看空,POSITIVE,61,6,0.8333333333333334,0.2212425427602768,0.0055433904006073,0.0078305220663696,0.010085319332382,0.024574580485988,-0.0192326965217523,0
19,STATE-2B56AD14C8C7EF07,30m,cxt_five_bi_V230619,cxt,类三卖,POSITIVE,26,6,0.8333333333333334,0.2070239800007206,0.0032198108435855,0.0087410640998605,0.0100606475267875,0.0280114705944414,-0.0224883404698155,0
20,STATE-79F590981CF5738A,30m,jcc_ping_tou_V221113,jcc,底部,POSITIVE,22,6,0.8333333333333334,0.1759249301633241,0.0116907600321285,0.006806976635407,0.0116992813020986,0.0367015626928738,-0.0308036352070424,0
21,STATE-73D4D4097A39E29F,30m,tas_second_bs_V230228,tas,二卖,POSITIVE,60,6,0.8333333333333334,0.1302188685793173,0.0037419844095604,0.0050344820947367,0.0075517109762004,0.0247091874595504,-0.0200790702850647,0
22,STATE-02D8AA5371124078,30m,cxt_range_oscillation_V230620,cxt,4笔震荡,POSITIVE,102,6,0.8333333333333334,0.1235007768222108,0.0022299152844872,0.0040123773281628,0.0058131182246726,0.0216616154428849,-0.0198012595752402,0
23,STATE-8A41C4F608F7A72D,weekly,bar_tnr_V230630,bar,噪音减少,POSITIVE,64,6,0.8333333333333334,0.1134743216212496,0.0025201843871244,0.003692923366763,0.0127366184275691,0.0227583462393927,-0.0192385383850208,0
24,STATE-0C553A0E0FDD08A4,30m,tas_slope_V231019,tas,看多,POSITIVE,147,6,0.8333333333333334,0.0973973909115218,0.002426608114814,0.0046887409935052,0.0032881343972927,0.0256029907806559,-0.0198162318051746,0
25,STATE-73953730DDFE58DF,daily,xl_bar_basis_V240412,xl,看涨长蜡烛,POSITIVE,22,5,0.8,0.5123723031198409,0.0268322974895613,0.035045223232458,0.0222995509445413,0.0601640969989846,-0.0093214359163552,0
26,STATE-63FA220AFBA33C6F,30m,tas_macd_change_V221105,tas,7次,POSITIVE,27,5,0.8,0.5026982749150034,0.0137271489764774,0.0138951805103937,0.0267345814654557,0.0311261585671957,-0.0116249383388376,0
