feature,coverage,hypothesis_id,information_family,financial_role,formula,availability
gold_sge_return_1d,0.9992808342322905,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,SGE close return 1d,prior China session
currency_usdcnh_return_5d,0.9978425026968716,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,USDCNH mid return 5d,prior China session
gold_sge_return_5d,0.9978425026968716,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,SGE close return 5d,prior China session
currency_usdcnh_return_20d,0.9924487594390508,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,USDCNH mid return 20d,prior China session
gold_sge_return_20d,0.9924487594390508,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,SGE close return 20d,prior China session
currency_usdcnh_z120,0.9568500539374326,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,RISK_CONTEXT,USDCNH mid zscore 120,prior China session
gold_sge_trend_distance_60,0.9784250269687162,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,SGE close/MA60-1,prior China session
translation_joint_impulse_5d,0.9978425026968716,H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,OPPORTUNITY,USDCNH return5 + SGE return5,prior China session
translation_etf_sge_gap_5d,0.9978425026968716,H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,ENTRY_TIMING,ETF return5 - causal SGE return5,T close
risk_sse_return_1d,0.9996404171161453,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,SSE return 1d,T close
risk_sse_return_5d,0.9982020855807263,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,SSE return 5d,T close
risk_sse_return_20d,0.9928083423229054,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,SSE return 20d,T close
risk_sse_volatility_20,0.9928083423229054,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,"std(return1,20)",T close
risk_sse_drawdown_60,0.978784609852571,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,close/max60-1,T close
risk_sse_intraday_range,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,(high-low)/close,T close
risk_sse_turnover_z20,0.9931679252067601,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,turnover zscore20,T close
risk_liquidity_selloff_interaction,0.9715929521754765,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,CONFIRMATION,negative equity return times positive vol zscore,T close
flow_etf_share_change_1d,0.9992808342322905,H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,CONFIRMATION,share return 1d,T uses T-1 publication
flow_etf_share_change_5d,0.9978425026968716,H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,CONFIRMATION,share return 5d,T uses T-1 publication
flow_etf_share_change_20d,0.9924487594390508,H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,CONFIRMATION,share return 20d,T uses T-1 publication
flow_etf_share_z120,0.9568500539374326,H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,CROWDING_RISK,share zscore120,T uses T-1 publication
flow_price_divergence_5d,0.9978425026968716,H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,CROWDING_RISK,share return5 - ETF return5,T close
flow_price_confirmation_20d,0.9924487594390508,H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,CONFIRMATION,share return20 times ETF return20,T close
flow_etf_volume_ratio_20,0.9931679252067601,H04-STRATEGIC-FLOW-POSITIONING,TRADING_FLOW,CONFIRMATION,volume/mean20,T close
flow_etf_volume_ratio_60,0.978784609852571,H04-STRATEGIC-FLOW-POSITIONING,TRADING_FLOW,CONFIRMATION,volume/mean60,T close
flow_etf_amount_ratio_20,0.9931679252067601,H04-STRATEGIC-FLOW-POSITIONING,TRADING_FLOW,CROWDING_RISK,amount/mean20,T close
flow_sge_volume_ratio_20,0.9928083423229054,H04-STRATEGIC-FLOW-POSITIONING,GOLD_MARKET_FLOW,CONFIRMATION,SGE volume/mean20,prior China session
macro_cpi_yoy,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_cpi_yoy,reference month M usable M+2
macro_cpi_mom,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_cpi_mom,reference month M usable M+2
macro_ppi_yoy,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_ppi_yoy,reference month M usable M+2
macro_ppi_mom,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_ppi_mom,reference month M usable M+2
macro_m1_yoy,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_m1_yoy,reference month M usable M+2
macro_m2_yoy,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,OPPORTUNITY,macro_m2_yoy,reference month M usable M+2
macro_cpi_yoy_change_3m,0.9899316792520676,H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,RISK_CONTEXT,three released monthly changes,reference month M usable M+2
macro_ppi_yoy_change_3m,0.9899316792520676,H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,RISK_CONTEXT,three released monthly changes,reference month M usable M+2
macro_m1_yoy_change_3m,0.9899316792520676,H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,RISK_CONTEXT,three released monthly changes,reference month M usable M+2
macro_m2_yoy_change_3m,0.9899316792520676,H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,RISK_CONTEXT,three released monthly changes,reference month M usable M+2
macro_money_scissors_m1_m2,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MONETARY_REGIME,OPPORTUNITY,M1 YoY - M2 YoY,reference month M usable M+2
macro_real_liquidity_m2_cpi,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,MONETARY_REGIME,OPPORTUNITY,M2 YoY - CPI YoY,reference month M usable M+2
macro_pipeline_inflation_ppi_cpi,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,INFLATION_REGIME,RISK_CONTEXT,PPI YoY - CPI YoY,reference month M usable M+2
macro_domestic_real_cash_proxy,0.9910104279036318,H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,RISK_CONTEXT,SHIBOR overnight - CPI YoY,T 12:00 with causal CPI
price_return_5d,0.9982020855807263,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,ETF close return 5d,T close
price_return_20d,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,ETF close return 20d,T close
price_return_60d,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,ETF close return 60d,T close
price_return_120d,0.9568500539374326,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,ETF close return 120d,T close
price_trend_distance_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,close/MA20-1,T close
price_trend_distance_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,close/MA60-1,T close
price_trend_distance_120,0.9572096368212873,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,close/MA120-1,T close
price_breakout_position_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,BREAKOUT_STATE,ENTRY_TIMING,position in 60d range,T close
price_drawdown_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,DRAWDOWN_STATE,EXIT_RISK,close/max60-1,T close
price_breakout_position_120,0.9572096368212873,H06-PRICE-VOLATILITY-STATE,BREAKOUT_STATE,ENTRY_TIMING,position in 120d range,T close
price_drawdown_120,0.9572096368212873,H06-PRICE-VOLATILITY-STATE,DRAWDOWN_STATE,EXIT_RISK,close/max120-1,T close
price_volatility_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,EXIT_RISK,"std(return1,20)",T close
price_volatility_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,EXIT_RISK,"std(return1,60)",T close
price_volatility_ratio_20_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,RISK_CONTEXT,vol20/vol60,T close
price_efficiency_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TREND_QUALITY,CONFIRMATION,efficiency ratio 20,T close
price_efficiency_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TREND_QUALITY,CONFIRMATION,efficiency ratio 60,T close
price_intraday_range,1.0,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,EXIT_RISK,(high-low)/close,T close
price_volume_z20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,VOLUME_LIQUIDITY,CONFIRMATION,volume zscore20,T close
price_amount_z20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,VOLUME_LIQUIDITY,CONFIRMATION,amount zscore20,T close
tsfresh_price_return_1d_absolute_sum_of_changes_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.absolute_sum_of_changes trailing 20,T close
tsfresh_price_return_1d_mean_abs_change_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.mean_abs_change trailing 20,T close
tsfresh_price_return_1d_cid_ce_normalized_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.cid_ce_normalized trailing 20,T close
tsfresh_price_return_1d_count_above_mean_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.count_above_mean trailing 20,T close
tsfresh_price_return_1d_longest_strike_above_mean_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.longest_strike_above_mean trailing 20,T close
tsfresh_price_return_1d_skewness_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.skewness trailing 20,T close
tsfresh_price_return_1d_absolute_sum_of_changes_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.absolute_sum_of_changes trailing 60,T close
tsfresh_price_return_1d_mean_abs_change_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.mean_abs_change trailing 60,T close
tsfresh_price_return_1d_cid_ce_normalized_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.cid_ce_normalized trailing 60,T close
tsfresh_price_return_1d_count_above_mean_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.count_above_mean trailing 60,T close
tsfresh_price_return_1d_longest_strike_above_mean_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.longest_strike_above_mean trailing 60,T close
tsfresh_price_return_1d_skewness_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,ENTRY_TIMING,tsfresh.skewness trailing 60,T close
tsfresh_price_intraday_range_absolute_sum_of_changes_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.absolute_sum_of_changes trailing 20,T close
tsfresh_price_intraday_range_mean_abs_change_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.mean_abs_change trailing 20,T close
tsfresh_price_intraday_range_cid_ce_normalized_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.cid_ce_normalized trailing 20,T close
tsfresh_price_intraday_range_count_above_mean_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.count_above_mean trailing 20,T close
tsfresh_price_intraday_range_longest_strike_above_mean_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.longest_strike_above_mean trailing 20,T close
tsfresh_price_intraday_range_skewness_20,0.9931679252067601,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.skewness trailing 20,T close
tsfresh_price_intraday_range_absolute_sum_of_changes_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.absolute_sum_of_changes trailing 60,T close
tsfresh_price_intraday_range_mean_abs_change_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.mean_abs_change trailing 60,T close
tsfresh_price_intraday_range_cid_ce_normalized_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.cid_ce_normalized trailing 60,T close
tsfresh_price_intraday_range_count_above_mean_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.count_above_mean trailing 60,T close
tsfresh_price_intraday_range_longest_strike_above_mean_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.longest_strike_above_mean trailing 60,T close
tsfresh_price_intraday_range_skewness_60,0.978784609852571,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.skewness trailing 60,T close
tsfresh_log_volume_change_absolute_sum_of_changes_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.absolute_sum_of_changes trailing 20,T close
tsfresh_log_volume_change_mean_abs_change_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.mean_abs_change trailing 20,T close
tsfresh_log_volume_change_cid_ce_normalized_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.cid_ce_normalized trailing 20,T close
tsfresh_log_volume_change_count_above_mean_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.count_above_mean trailing 20,T close
tsfresh_log_volume_change_longest_strike_above_mean_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.longest_strike_above_mean trailing 20,T close
tsfresh_log_volume_change_skewness_20,0.9928083423229054,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.skewness trailing 20,T close
tsfresh_log_volume_change_absolute_sum_of_changes_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.absolute_sum_of_changes trailing 60,T close
tsfresh_log_volume_change_mean_abs_change_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.mean_abs_change trailing 60,T close
tsfresh_log_volume_change_cid_ce_normalized_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.cid_ce_normalized trailing 60,T close
tsfresh_log_volume_change_count_above_mean_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.count_above_mean trailing 60,T close
tsfresh_log_volume_change_longest_strike_above_mean_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.longest_strike_above_mean trailing 60,T close
tsfresh_log_volume_change_skewness_60,0.9784250269687162,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,tsfresh.skewness trailing 60,T close
