factor,event_date
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-11-19
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2021-12-24
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2022-04-08
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2022-09-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2023-05-10
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2023-07-07
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2024-04-10
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2024-07-05
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2024-09-10
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2025-06-23
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,2025-06-25
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2021-09-14
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2021-09-17
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2021-12-27
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2022-09-21
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2023-02-28
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2023-05-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2023-07-13
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2023-07-19
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2023-12-26
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2024-04-17
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,2024-09-18
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,2021-03-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,2022-04-18
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,2022-12-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,2023-07-17
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,2024-04-19
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2022-04-22
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2023-05-24
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2023-07-28
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2023-08-04
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2024-01-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2024-01-18
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,2025-11-17
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|19笔|任意,2021-10-13
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|19笔|任意,2024-01-23
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|19笔|任意,2025-11-19
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2022-01-26
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2022-02-10
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2022-02-14
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2023-08-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2024-01-24
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,2024-07-01
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2021-08-16
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2022-03-16
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2022-04-01
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2023-11-27
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2024-04-09
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2024-11-25
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,2025-05-26
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2022-08-31
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2022-09-02
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2023-09-13
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2023-10-24
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2023-11-30
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2024-03-29
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2024-08-15
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2024-08-21
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2024-10-30
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,2025-04-28
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,2022-02-08
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,2023-05-08
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,2025-04-03
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,2025-04-29
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-04-01
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-04-26
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-05-21
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-06-01
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-06-03
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-06-28
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-06-30
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-10-26
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-11-04
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2021-11-09
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-02-25
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-05-16
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-05-20
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-06-29
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-08-10
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-08-16
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-10-26
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2022-10-31
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-01-17
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-01-20
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-03-29
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-04-10
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-06-01
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-06-05
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2023-11-15
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-02-21
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-02-28
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-03-04
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-03-12
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-05-07
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-06-05
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-07-18
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-11-08
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-11-12
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2024-12-26
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-02-25
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-02-28
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-04-22
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-07-22
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-08-12
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-08-18
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,2025-08-27
