path_id,component_id,catalog_id,kind,information_family,horizon_sessions,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_observations,bottom_observations,top_minus_bottom_return,identifiable,frequency,orientation,horizon_bh_qvalue,global_bh_qvalue,evidence_label
SIG-DAILY-4AFE27907A46D883:H3,SIG-DAILY-4AFE27907A46D883,SIG-CZSC-cci_decision_V240620,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,510,644,0.030273159705049617,0.03416771084593799,0.005146500183661774,0.0029072569251950425,0.17431711741093409,2,"{'2024': -0.04911692965552926, '2025': 0.015784311631139598, '2026': 0.11021594211705305}",171,473,0.006349531530242454,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6608027660590964,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-WEEKLY-6F802EEDCE56F3F7:H1,SIG-WEEKLY-6F802EEDCE56F3F7,SIG-CZSC-tas_cci_base_V230402,CATEGORICAL_SIGNAL,TREND_MOMENTUM,1,514,646,0.08857208142494288,0.03214541071138848,0.0018403526214779745,0.0008615915246363101,0.20631395879718983,2,"{'2024': 0.018344946353740572, '2025': -0.04769736159399718, '2026': 0.10742891432575692}",543,103,0.0019327096914389151,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.8027998940951877,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-F588115D0B44248A:H5,SIG-DAILY-F588115D0B44248A,SIG-CZSC-zdy_zs_V230423,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,5,510,642,0.09095534308071959,0.003080457157666101,0.0005830924373662334,0.007197303737335664,0.18675729549258113,2,"{'2024': 0.027151181812954398, '2025': 0.037384828746621496, '2026': None}",46,596,0.035034976629208944,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-DEF17EFDA0439B93:H5,SIG-DAILY-DEF17EFDA0439B93,SIG-CZSC-bar_accelerate_V221118,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,5,510,642,0.074253619486298,0.02240667314952652,0.04299704949598758,0.005960625028153637,0.21321823276613816,2,"{'2024': 0.055722345129567113, '2025': 0.06108498008020217, '2026': -0.01765268452392766}",11,631,0.04500591742529416,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7670492398882455,DIRECTIONALLY_STABLE
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY:H1,F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,CONTINUOUS_FACTOR,MARKET_MICROSTRUCTURE,1,727,646,0.017645653510041086,0.03540872404385091,0.07656714154688915,0.0007378831610530598,0.22080500163931738,2,"{'2024': 0.03850489643682313, '2025': 0.09142741690983627, '2026': -0.02217873547193209}",130,130,0.0036212320917988813,True,project,NEGATIVE,0.8057908187500528,0.7692693492617623,DIRECTIONALLY_STABLE
SIG-DAILY-711658A422C7ACB5:H5,SIG-DAILY-711658A422C7ACB5,SIG-CZSC-er_up_dw_line_V230604,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,510,642,0.05784298633744734,0.04388801315024369,0.05393354432442094,0.00393884312385755,0.21909080802975678,2,"{'2024': 0.1496833447164702, '2025': 0.04606142766098872, '2026': -0.03643034547028596}",0,642,,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7692693492617623,DIRECTIONALLY_STABLE
SIG-WEEKLY-395672528B89E99C:H3,SIG-WEEKLY-395672528B89E99C,SIG-CZSC-zdy_bi_end_V230406,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,514,644,0.02827300067074687,0.0630080042992433,0.051690385514812975,0.0017587836764764511,0.21885085198999787,2,"{'2024': 0.02679299096825688, '2025': 0.05639690681489242, '2026': -0.004450939994284936}",0,644,,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6983627906833139,0.7692693492617623,DIRECTIONALLY_STABLE
SIG-DAILY-42097AF3BF3FAA54:H5,SIG-DAILY-42097AF3BF3FAA54,SIG-CZSC-kcatr_up_dw_line_V230823,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,510,642,0.11425099998064929,0.04553289912408892,0.03966647586216684,0.002332061227259755,0.22221218550310995,2,"{'2024': 0.009879749190521273, '2025': -0.029950737506554952, '2026': 0.142055695142356}",136,506,0.005973242443153917,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7692693492617623,DIRECTIONALLY_STABLE
SIG-30M-A473C1A5D557471F:H1,SIG-30M-A473C1A5D557471F,SIG-CZSC-jcc_san_szx_V221122,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,1,698,646,-0.0012274464435137686,0.03181189943833281,0.028618310028584587,0.0005364590856709815,0.21854377380104117,2,"{'2024': 0.06767674912334287, '2025': 0.020713680786943262, '2026': -0.0048263582529229935}",19,627,0.0031751083650912166,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.8057908187500528,0.7692693492617623,DIRECTIONALLY_STABLE
SIG-30M-772A1810AAF44399:H5,SIG-30M-772A1810AAF44399,SIG-CZSC-tas_boll_vt_V230212,CATEGORICAL_SIGNAL,VOLATILITY_RISK,5,698,642,0.04306218237060466,0.01538792260236434,0.02455059749050588,0.0021034225267814667,0.2161148578583057,2,"{'2024': 0.09621017158946021, '2025': 0.021824518212790113, '2026': -0.07809242796658242}",49,593,0.012834056038244532,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7692693492617623,DIRECTIONALLY_STABLE
