kind,information_family,horizon_sessions,paths,identifiable,positive_confirmation_ic,median_confirmation_ic,median_residual_ic
CONTINUOUS_FACTOR,TREND_MOMENTUM,1,1,1,0,-0.004909578447420148,-0.16132252638014397
CONTINUOUS_FACTOR,TREND_MOMENTUM,3,1,1,1,0.0700486496849036,-0.011994557349171677
CONTINUOUS_FACTOR,TREND_MOMENTUM,5,1,1,1,0.017730365862363973,-0.024662600903712476
CONTINUOUS_FACTOR,TREND_REGIME,1,1,1,0,-0.0315364017711554,-0.03250162547864875
CONTINUOUS_FACTOR,TREND_REGIME,3,1,1,0,-0.05366929852245322,-0.0480072322219918
CONTINUOUS_FACTOR,TREND_REGIME,5,1,1,0,-0.06162650024222378,-0.054492890161339985
CONTINUOUS_FACTOR,VOLUME_LIQUIDITY,1,1,1,1,0.006301155392566718,0.06324524679962118
CONTINUOUS_FACTOR,VOLUME_LIQUIDITY,3,1,1,0,-0.05631466573794445,-0.0239366736005222
CONTINUOUS_FACTOR,VOLUME_LIQUIDITY,5,1,1,1,0.049975274789591684,0.033027001184548994
EVENT_FACTOR,EVENT_CATALYST,1,1,1,1,0.22136647024717618,0.1136746739107121
EVENT_FACTOR,EVENT_CATALYST,3,1,1,0,-0.05683733695535605,-0.10170891876221609
EVENT_FACTOR,EVENT_CATALYST,5,1,1,0,-0.044871581806860045,0.0927346024008441
