sample_id,state,rejection,feasible,behavior_hash,cagr,maximum_drawdown,calmar,frequency_median,frequency_p10,closed_trades,pass_full_cagr,pass_full_drawdown,pass_s001_drawdown,pass_frequency_median,pass_frequency_p10,pass_discovery_cagr,pass_confirmation_cagr,pass_confirmation_drawdown,params
232,COMPLETE,,False,8911fd019354e30a68e877532cb11b3bb9f2e5c4e6544c30c309e6de6358059c,0.17595529028898005,-0.2673001958062742,0.6582684676239581,9.0,6.0,198.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2493428500772387, ""entry_quantile"": 0.6985851436708642, ""entry_timing_total"": 0.15875353037058237, ""exit_quantile"": 0.4841816133651931, ""opp_spx_fraction"": 0.6892700173309521, ""opportunity_total"": 0.47385338125100723, ""risk_shibor_fraction"": 0.5619835164609842}"
233,COMPLETE,,False,5cb5c25e989377fa2b43fa9d44f8f5cc58db7d547bb875f78ace34aa98658750,0.21742041268690082,-0.2286627174720699,0.9508345527007818,6.0,4.0,146.0,False,False,False,False,True,True,True,True,"{""confirm_share_fraction"": 0.7143136757642268, ""confirmation_total"": 0.2742334217613867, ""entry_quantile"": 0.7573729398554018, ""entry_timing_total"": 0.13069468783020888, ""exit_quantile"": 0.4860368914761032, ""opp_spx_fraction"": 0.6134554476388869, ""opportunity_total"": 0.43202149652512434, ""risk_shibor_fraction"": 0.5374456791834877}"
234,COMPLETE,,False,c5ffac7ce500f64ef26cc7c2d9c4e6a1e38f55a77c1e2dd42910c24bbb74f7aa,0.22235150830897177,-0.2730095237147787,0.8144459771347358,8.0,5.0,169.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2371529128048393, ""entry_quantile"": 0.707884739713102, ""entry_timing_total"": 0.1517194178968478, ""exit_quantile"": 0.45781889130733305, ""opp_spx_fraction"": 0.6287332637977593, ""opportunity_total"": 0.4161486235717764, ""risk_shibor_fraction"": 0.42939003650588914}"
235,COMPLETE,,False,a379dc6395fadc9ea250bcc2018b5530829a03d8190cb29dc766bc65f8b0e66e,0.21341087653788682,-0.23595881635184823,0.9044412064674064,9.0,6.0,193.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7346846953550754, ""confirmation_total"": 0.2124609307102101, ""entry_quantile"": 0.6762445326532828, ""entry_timing_total"": 0.11920633678848444, ""exit_quantile"": 0.5081822041223538, ""opp_spx_fraction"": 0.5796075506272769, ""opportunity_total"": 0.4828031082682712, ""risk_shibor_fraction"": 0.5605434397089422}"
236,COMPLETE,,False,1cc1faad39196e7fff0620eaeab4495c9ccb149d11a1eb08c3c52254464317b9,0.18944842898311487,-0.2657464976751439,0.7128915362591233,6.0,4.0,151.0,False,False,False,False,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.23042151838784414, ""entry_quantile"": 0.7627447535515033, ""entry_timing_total"": 0.14293107711289768, ""exit_quantile"": 0.48163360991150556, ""opp_spx_fraction"": 0.6311397555090621, ""opportunity_total"": 0.43156957781737143, ""risk_shibor_fraction"": 0.5390866439054364}"
237,COMPLETE,,False,86e22c902dd3a5eac62caeb0a8b4f91e53d2317059b8f6e8f4bdd2959607bc7e,0.195711509076133,-0.28426716132549457,0.6884773751690486,7.0,4.0,156.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7384052019579491, ""confirmation_total"": 0.24183101640281743, ""entry_quantile"": 0.7559516652076331, ""entry_timing_total"": 0.1594422595864442, ""exit_quantile"": 0.5024951060138578, ""opp_spx_fraction"": 0.6408965183190942, ""opportunity_total"": 0.4188454346454521, ""risk_shibor_fraction"": 0.48231361988822286}"
238,COMPLETE,,False,de53fd3a7523e3524db34bd7906d811bcb264934d27f2517c87cc8fd5a74c406,0.2186463980680371,-0.2707987577398594,0.8074128548184772,7.0,4.0,162.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7039437788814549, ""confirmation_total"": 0.2370355984737401, ""entry_quantile"": 0.7201259470428478, ""entry_timing_total"": 0.12814973225006435, ""exit_quantile"": 0.44399899963555967, ""opp_spx_fraction"": 0.6163677572118731, ""opportunity_total"": 0.4480684545372296, ""risk_shibor_fraction"": 0.5200608956970696}"
239,REJECTED,RISK_WEIGHT_OUT_OF_RANGE,,,,,,,,,,,,,,,,,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.27564890667498937, ""entry_quantile"": 0.7062613934940307, ""entry_timing_total"": 0.15260067946292283, ""exit_quantile"": 0.48681235326550043, ""opp_spx_fraction"": 0.6659542010490803, ""opportunity_total"": 0.4775450368439283, ""risk_shibor_fraction"": 0.4360471491360801}"
240,COMPLETE,,False,af440debf5f9b6bf1a501c82faff4cb582387538d24b4ffec2987b0f731dac76,0.2538301893152095,-0.2769028148551753,0.9166760888579873,7.0,4.0,157.0,True,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2709972366951008, ""entry_quantile"": 0.7181154479987888, ""entry_timing_total"": 0.13849788436980467, ""exit_quantile"": 0.4201066788045289, ""opp_spx_fraction"": 0.6173462507498696, ""opportunity_total"": 0.43966532865515895, ""risk_shibor_fraction"": 0.48008316097119075}"
241,COMPLETE,,False,b7b895f1390d309996ea2905d73a042bcd5fad9773e579dc2b0cd7d576ef6fa3,0.21998885594637896,-0.22520380589122702,0.9768434200114412,6.0,4.0,143.0,False,False,False,False,True,True,True,True,"{""confirm_share_fraction"": 0.6811822115639662, ""confirmation_total"": 0.27420761562604473, ""entry_quantile"": 0.7678668693829154, ""entry_timing_total"": 0.1585814474663718, ""exit_quantile"": 0.4598510525848818, ""opp_spx_fraction"": 0.6707072677290152, ""opportunity_total"": 0.4190519696894886, ""risk_shibor_fraction"": 0.41974809624829723}"
242,COMPLETE,,False,0dbb06c98ac903a9d48562eb448a40d7b6d63fe8d0b2de5035f51832149107c1,0.23911212355526823,-0.28274334604830564,0.8456861209897998,8.0,6.0,185.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7230738943824909, ""confirmation_total"": 0.25258893089823764, ""entry_quantile"": 0.6718770688773504, ""entry_timing_total"": 0.11407094979658489, ""exit_quantile"": 0.4594393002392564, ""opp_spx_fraction"": 0.6410655273977495, ""opportunity_total"": 0.46393700463992554, ""risk_shibor_fraction"": 0.539876511360189}"
243,COMPLETE,,False,e182803c8c9bcad5305ff14215c0c20920c113b7fdebf822580ef7a8bea28827,0.21595863774037394,-0.24624528974216897,0.8770061671697085,7.0,4.0,164.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2786417412914434, ""entry_quantile"": 0.7294079215278284, ""entry_timing_total"": 0.14212818013716658, ""exit_quantile"": 0.522716629933767, ""opp_spx_fraction"": 0.5845084916998836, ""opportunity_total"": 0.47868005369935224, ""risk_shibor_fraction"": 0.441520886273423}"
244,COMPLETE,,False,61cfe9ca4efdc29d74413ff02dce3bb1957316f5cc2a57f594ed9c324ef4c3fa,0.21440414030964416,-0.21583041016915372,0.9933917103785711,7.0,4.0,156.0,False,False,False,True,True,True,True,True,"{""confirm_share_fraction"": 0.6836716016058907, ""confirmation_total"": 0.2860108774236632, ""entry_quantile"": 0.760932285631643, ""entry_timing_total"": 0.15665889555110848, ""exit_quantile"": 0.5141094083019719, ""opp_spx_fraction"": 0.631182469215599, ""opportunity_total"": 0.44048189836552665, ""risk_shibor_fraction"": 0.5511329455649127}"
245,COMPLETE,,False,239edcbe2aed86c28df6f59afce285ab2a240df837d5131880fe6ebe4fff4bb0,0.2021439564457399,-0.2925400128372567,0.6909959238915971,7.0,4.0,162.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2266899649791822, ""entry_quantile"": 0.7350179260328279, ""entry_timing_total"": 0.10989498221411834, ""exit_quantile"": 0.50371061342449, ""opp_spx_fraction"": 0.6598619459673121, ""opportunity_total"": 0.41804101391999515, ""risk_shibor_fraction"": 0.45229021567091465}"
246,COMPLETE,,False,575804895966559bfa4d0fc0609da0721e1c4c77e973bccac9ab7c027eada730,0.23166139858430412,-0.2196604814948473,1.0546339378289051,7.0,4.0,153.0,False,False,False,True,True,True,True,True,"{""confirm_share_fraction"": 0.6859917659241236, ""confirmation_total"": 0.25846645969243387, ""entry_quantile"": 0.7702089881958372, ""entry_timing_total"": 0.16476947749361842, ""exit_quantile"": 0.4900830270203665, ""opp_spx_fraction"": 0.6300976016333389, ""opportunity_total"": 0.4448864074684113, ""risk_shibor_fraction"": 0.4437188758970421}"
247,COMPLETE,,False,b84653d763cc24de4c2cc867ffa919f197eeb1ca3ab5f0b0e7a4ce38ecb4f29e,0.21112023844227878,-0.3069896850185385,0.687711179707975,8.0,5.0,175.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.6885780123007725, ""confirmation_total"": 0.21403588981184324, ""entry_quantile"": 0.6920311500499824, ""entry_timing_total"": 0.12999285357493473, ""exit_quantile"": 0.4224556698796487, ""opp_spx_fraction"": 0.6318491681683825, ""opportunity_total"": 0.44910746797238393, ""risk_shibor_fraction"": 0.46111334958348166}"
248,COMPLETE,,False,22ee2e1e8a5df0b55c455e525b9e84629fd916447481de293716a49a548676c0,0.21263819455682365,-0.31385481107271274,0.6775049706265628,8.0,5.0,176.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7002059764064835, ""confirmation_total"": 0.24953788077917055, ""entry_quantile"": 0.7115247878013107, ""entry_timing_total"": 0.15597181227926007, ""exit_quantile"": 0.47728826518555456, ""opp_spx_fraction"": 0.6198932673041633, ""opportunity_total"": 0.4608962905780641, ""risk_shibor_fraction"": 0.46875313024076093}"
249,COMPLETE,,False,f077e86bd7438e1821c011e21194b82a0ea10a79074415e2ff761f6bb80fdcc2,0.20437681932352314,-0.2703550543348323,0.7559570869735037,7.0,4.0,152.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7113128010334738, ""confirmation_total"": 0.26662720380208016, ""entry_quantile"": 0.7301048269194231, ""entry_timing_total"": 0.14323858691590707, ""exit_quantile"": 0.4347766240623871, ""opp_spx_fraction"": 0.5819585555846951, ""opportunity_total"": 0.45096730035035937, ""risk_shibor_fraction"": 0.5254978772157763}"
250,COMPLETE,,False,88fb61039b07f5d6fec3d445188b3e5e079704f402757be77c39d039b7bb1560,0.18244306639387342,-0.29494585317686617,0.6185646091605508,7.0,5.0,168.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.7005890279324588, ""confirmation_total"": 0.21897917261447505, ""entry_quantile"": 0.7127800323605434, ""entry_timing_total"": 0.11309648694003929, ""exit_quantile"": 0.46542851086659476, ""opp_spx_fraction"": 0.5740200205760655, ""opportunity_total"": 0.4468044852869515, ""risk_shibor_fraction"": 0.4515750247091826}"
251,COMPLETE,,False,abddcff120973371b30d2e86e603257cb867c2e8dde89265c4878890e5a03dcb,0.25680004425734526,-0.2754384242643916,0.9323319538411408,7.0,5.0,168.0,True,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2623433174817366, ""entry_quantile"": 0.692057213712228, ""entry_timing_total"": 0.11505789251598278, ""exit_quantile"": 0.4439689698474474, ""opp_spx_fraction"": 0.6568214008628558, ""opportunity_total"": 0.45213242179140145, ""risk_shibor_fraction"": 0.4658124831178217}"
252,COMPLETE,,False,9a4026cc357dbcdd9743e39ac7eccb55d479cca453f1b51963713a7bb9f70241,0.1977910588637517,-0.2615014750244473,0.7563668956179331,7.0,4.0,161.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.6998228262779331, ""confirmation_total"": 0.2421810909891729, ""entry_quantile"": 0.7308012541640295, ""entry_timing_total"": 0.14114182837994546, ""exit_quantile"": 0.46899628063013765, ""opp_spx_fraction"": 0.5714286051469241, ""opportunity_total"": 0.48200123007231044, ""risk_shibor_fraction"": 0.4556766717214008}"
253,COMPLETE,,False,9e80904724715c5258f03a77c611ff3dfcce930c86134893b24619385bc6fd82,0.2424497782746442,-0.2329360174896351,1.0408428069112687,6.0,3.0,137.0,True,False,False,False,True,True,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.28103070691589094, ""entry_quantile"": 0.7631384362048093, ""entry_timing_total"": 0.12267717511960154, ""exit_quantile"": 0.42996194044707137, ""opp_spx_fraction"": 0.6672557720710945, ""opportunity_total"": 0.46812287702410915, ""risk_shibor_fraction"": 0.4501934319114308}"
254,COMPLETE,,False,5afcc67bffde7baf10784fbe93801b2713a16d73283428954bd127b36f1229a6,0.26530304774327274,-0.24138351795071122,1.099093467506119,7.0,4.0,165.0,True,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.24654181254705573, ""entry_quantile"": 0.7271348575948704, ""entry_timing_total"": 0.13543499011966717, ""exit_quantile"": 0.4799225897699972, ""opp_spx_fraction"": 0.681869897974897, ""opportunity_total"": 0.4151928782759724, ""risk_shibor_fraction"": 0.41650736187296766}"
255,COMPLETE,,False,4ce2fd4705cd9417763a02e3ae477b55b56117ac42510c514a9ceebb9cbcdb29,0.22270190528980938,-0.25411629630668653,0.8763778967604505,8.0,6.0,181.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.6871934729681604, ""confirmation_total"": 0.22298180054826802, ""entry_quantile"": 0.7053101290368113, ""entry_timing_total"": 0.12872735167375263, ""exit_quantile"": 0.4607433543968692, ""opp_spx_fraction"": 0.6710550449629429, ""opportunity_total"": 0.4693765423004399, ""risk_shibor_fraction"": 0.5458841353684966}"
