variant_id,factor_alias,signal_input,default_weight,trend_weight,range_weight
LOO-F05,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07492916669278535,0.07783294501174222,0.022353651906797917
LOO-F05,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07492916669278535,0.07783294501174222,0.01750622036930875
LOO-F05,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.199811111180761,0.13836968002087505,0.14456520722019303
LOO-F05,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.199811111180761,0.13836968002087505,0.0773285825791378
LOO-F05,F12,raw__weekly__cxt_bi_status_V230101,0.049952777795190244,0.06918484001043752,0.05016725410390363
LOO-F06,F01,raw__30m__cxt_bi_status_V230101,0.06490332446997309,0.08843663377008133,0.11089994399684609
LOO-F06,F02,raw__30m__cxt_third_buy_V230228__di_1,0.065065582781148,0.08865772535450651,0.26963633297164324
LOO-F06,F03,raw__daily__cxt_bi_status_V230101,0.05192265957597847,0.07074930701606508,0.07222502999404282
LOO-F06,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06522986932121264,0.08888158058373705,0.09680236853880214
LOO-F06,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05192265957597847,0.07074930701606508,0.08711477737858135
LOO-F06,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0,0.0,0.0
LOO-F06,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07788398936396769,0.07959297039307321,0.07410952209791138
LOO-F06,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07788398936396769,0.07959297039307321,0.020726230910686084
LOO-F06,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07788398936396769,0.07959297039307321,0.016231708682790554
LOO-F06,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.2076906383039139,0.14149861403213015,0.1340403742077467
LOO-F06,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.2076906383039139,0.14149861403213015,0.07169880184292682
LOO-F06,F12,raw__weekly__cxt_bi_status_V230101,0.05192265957597847,0.07074930701606508,0.046514909378022745
LOO-F07,F01,raw__30m__cxt_bi_status_V230101,0.06404047197727783,0.08723547153068258,0.1179533297121298
LOO-F07,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06420057315722101,0.08745356020950926,0.2867855666931477
LOO-F07,F03,raw__daily__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.07681863912030537
LOO-F07,F04,raw__daily__cxt_five_bi_V230619__di_1,0.0643626756019135,0.0876743749968213,0.10295912947888551
LOO-F07,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05123237758182227,0.06978837722454606,0.09265539448087386
LOO-F07,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09014299311807578,0.09209410393593584,0.015221641406668445
LOO-F07,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0,0.0,0.0
LOO-F07,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07684856637273339,0.07851192437761431,0.022044447095188956
LOO-F07,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07684856637273339,0.07851192437761431,0.017264067203738926
LOO-F07,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.2049295103272891,0.13957675444909212,0.14256552243266457
LOO-F07,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.2049295103272891,0.13957675444909212,0.07625894215044798
LOO-F07,F12,raw__weekly__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.04947332022594881
LOO-F08,F01,raw__30m__cxt_bi_status_V230101,0.06404047197727783,0.08723547153068258,0.11161593958140639
LOO-F08,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06420057315722101,0.08745356020950926,0.2713771672488023
LOO-F08,F03,raw__daily__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.07269133142492487
LOO-F08,F04,raw__daily__cxt_five_bi_V230619__di_1,0.0643626756019135,0.0876743749968213,0.09742734692878881
LOO-F08,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05123237758182227,0.06978837722454606,0.08767721044847354
LOO-F08,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09014299311807578,0.09209410393593584,0.014403813878955072
LOO-F08,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07684856637273339,0.07851192437761431,0.07458799024391412
LOO-F08,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.0,0.0,0.0
LOO-F08,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07684856637273339,0.07851192437761431,0.016336504333066784
LOO-F08,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.2049295103272891,0.13957675444909212,0.13490576974021232
LOO-F08,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.2049295103272891,0.13957675444909212,0.07216170582364713
LOO-F08,F12,raw__weekly__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.04681522034780857
LOO-F09,F01,raw__30m__cxt_bi_status_V230101,0.06404047197727784,0.08723547153068258,0.11111331407192253
LOO-F09,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06420057315722102,0.08745356020950926,0.270155109830639
LOO-F09,F03,raw__daily__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.07236399002879869
LOO-F09,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06436267560191351,0.0876743749968213,0.09698861505884807
LOO-F09,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05123237758182227,0.06978837722454606,0.08728238509703126
LOO-F09,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09014299311807579,0.09209410393593584,0.014338951061721514
LOO-F09,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07684856637273339,0.07851192437761431,0.07425210787139346
LOO-F09,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07684856637273339,0.07851192437761431,0.02076610791410089
LOO-F09,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0,0.0,0.0
LOO-F09,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.20492951032728912,0.13957675444909212,0.13429826617484086
LOO-F09,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.20492951032728912,0.13957675444909212,0.07183674942144454
LOO-F09,F12,raw__weekly__cxt_bi_status_V230101,0.05123237758182227,0.06978837722454606,0.04660440346925912
LOO-F10,F01,raw__30m__cxt_bi_status_V230101,0.07344772606270468,0.09290894017456339,0.12598386033574838
LOO-F10,F02,raw__30m__cxt_third_buy_V230228__di_1,0.07363134537786142,0.09314121252499977,0.30631057952120266
LOO-F10,F03,raw__daily__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.0820486265689503
LOO-F10,F04,raw__daily__cxt_five_bi_V230619__di_1,0.07381725993445766,0.09337638827981665,0.1099688208905581
LOO-F10,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05875818085016374,0.07432715213965072,0.09896358420843862
LOO-F10,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.10338458884809319,0.09808355985104555,0.016257965330345025
LOO-F10,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.08813727127524561,0.08361804615710705,0.08418943549509683
LOO-F10,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08813727127524561,0.08361804615710705,0.02354528312848026
LOO-F10,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.08813727127524561,0.08361804615710705,0.01843944411515118
LOO-F10,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,0.0,0.0
LOO-F10,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.23503272340065498,0.14865430427930143,0.0814508241580057
LOO-F10,F12,raw__weekly__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.05284157624802288
LOO-F11,F01,raw__30m__cxt_bi_status_V230101,0.07344772606270468,0.09290894017456339,0.11765166551117909
LOO-F11,F02,raw__30m__cxt_third_buy_V230228__di_1,0.07363134537786142,0.09314121252499977,0.28605211610695547
LOO-F11,F03,raw__daily__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.07662217638843588
LOO-F11,F04,raw__daily__cxt_five_bi_V230619__di_1,0.07381725993445766,0.09337638827981665,0.1026958127620058
LOO-F11,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05875818085016374,0.07432715213965072,0.09241842944047982
LOO-F11,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.10338458884809319,0.09808355985104555,0.015182712244572662
LOO-F11,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.08813727127524561,0.08361804615710705,0.07862139863032545
LOO-F11,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08813727127524561,0.08361804615710705,0.021988068690826822
LOO-F11,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.08813727127524561,0.08361804615710705,0.017219914562597846
LOO-F11,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.23503272340065498,0.14865430427930143,0.1422009128492579
LOO-F11,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.0,0.0,0.0
LOO-F11,F12,raw__weekly__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.04934679281336314
LOO-F12,F01,raw__30m__cxt_bi_status_V230101,0.062440972243987806,0.0864810500130469,0.11459014702869649
LOO-F12,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06259707467459776,0.0866972526380795,0.2786084999319555
LOO-F12,F03,raw__daily__cxt_bi_status_V230101,0.049952777795190244,0.06918484001043752,0.07462832268341589
LOO-F12,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06275512838559036,0.08691615779592504,0.10002347380719026
LOO-F12,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.049952777795190244,0.06918484001043752,0.09001352740509676
LOO-F12,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08789154666556548,0.0912976644550968,0.014787629404486923
LOO-F12,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07492916669278535,0.07783294501174222,0.07657552138770791
LOO-F12,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07492916669278535,0.07783294501174222,0.021415897626366486
LOO-F12,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07492916669278535,0.07783294501174222,0.016771819871620817
LOO-F12,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.199811111180761,0.13836968002087505,0.13850057659798287
LOO-F12,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.199811111180761,0.13836968002087505,0.07408458425548002
LOO-F12,F12,raw__weekly__cxt_bi_status_V230101,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F01,raw__30m__cxt_bi_status_V230101,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F02,raw__30m__cxt_third_buy_V230228__di_1,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F03,raw__daily__cxt_bi_status_V230101,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F04,raw__daily__cxt_five_bi_V230619__di_1,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.0,0.0,0.0
LOO-G-MARKET_STRUCTURE,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.12339097300211983,0.15177426749939066,0.043221491292512695
LOO-G-MARKET_STRUCTURE,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.10519308323974559,0.12939036597466924,0.2238160113665137
LOO-G-MARKET_STRUCTURE,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10519308323974559,0.12939036597466924,0.06259468691435321
LOO-G-MARKET_STRUCTURE,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.10519308323974559,0.12939036597466924,0.04902091110836856
LOO-G-MARKET_STRUCTURE,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.28051488863932167,0.23002731728830086,0.4048114340505008
LOO-G-MARKET_STRUCTURE,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.28051488863932167,0.23002731728830086,0.21653546526775108
LOO-G-MARKET_STRUCTURE,F12,raw__weekly__cxt_bi_status_V230101,0.0,0.0,0.0
LOO-G-TREND_MOMENTUM,F01,raw__30m__cxt_bi_status_V230101,0.08469170894635573,0.11617733017234182,0.1247563107633088
LOO-G-TREND_MOMENTUM,F02,raw__30m__cxt_third_buy_V230228__di_1,0.08490343821872161,0.11646777349777264,0.3033259795897281
LOO-G-TREND_MOMENTUM,F03,raw__daily__cxt_bi_status_V230101,0.06775336715708459,0.09294186413787346,0.0812491689543356
LOO-G-TREND_MOMENTUM,F04,raw__daily__cxt_five_bi_V230619__di_1,0.08511781410699208,0.1167618473647714,0.1088973171383621
LOO-G-TREND_MOMENTUM,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.06775336715708459,0.09294186413787346,0.09799931223615262
LOO-G-TREND_MOMENTUM,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0,0.0,0.0
LOO-G-TREND_MOMENTUM,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0,0.0,0.0
LOO-G-TREND_MOMENTUM,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.0,0.0,0.0
LOO-G-TREND_MOMENTUM,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0,0.0,0.0
LOO-G-TREND_MOMENTUM,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.27101346862833836,0.18588372827574692,0.1507880164481185
LOO-G-TREND_MOMENTUM,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.27101346862833836,0.18588372827574692,0.0806571913537437
LOO-G-TREND_MOMENTUM,F12,raw__weekly__cxt_bi_status_V230101,0.06775336715708459,0.09294186413787346,0.052326703516250524
LOO-G-VOLUME_LIQUIDITY,F01,raw__30m__cxt_bi_status_V230101,0.07344772606270468,0.09290894017456339,0.12598386033574838
LOO-G-VOLUME_LIQUIDITY,F02,raw__30m__cxt_third_buy_V230228__di_1,0.07363134537786142,0.09314121252499977,0.30631057952120266
LOO-G-VOLUME_LIQUIDITY,F03,raw__daily__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.0820486265689503
LOO-G-VOLUME_LIQUIDITY,F04,raw__daily__cxt_five_bi_V230619__di_1,0.07381725993445766,0.09337638827981665,0.1099688208905581
LOO-G-VOLUME_LIQUIDITY,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05875818085016374,0.07432715213965072,0.09896358420843862
LOO-G-VOLUME_LIQUIDITY,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.10338458884809319,0.09808355985104555,0.016257965330345025
LOO-G-VOLUME_LIQUIDITY,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.08813727127524561,0.08361804615710705,0.08418943549509683
LOO-G-VOLUME_LIQUIDITY,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08813727127524561,0.08361804615710705,0.02354528312848026
LOO-G-VOLUME_LIQUIDITY,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.08813727127524561,0.08361804615710705,0.01843944411515118
LOO-G-VOLUME_LIQUIDITY,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.0,0.0,0.0
LOO-G-VOLUME_LIQUIDITY,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.23503272340065498,0.14865430427930143,0.0814508241580057
LOO-G-VOLUME_LIQUIDITY,F12,raw__weekly__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.05284157624802288
LOO-G-POSITION_VALUATION,F01,raw__30m__cxt_bi_status_V230101,0.07344772606270468,0.09290894017456339,0.11765166551117909
LOO-G-POSITION_VALUATION,F02,raw__30m__cxt_third_buy_V230228__di_1,0.07363134537786142,0.09314121252499977,0.28605211610695547
LOO-G-POSITION_VALUATION,F03,raw__daily__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.07662217638843588
LOO-G-POSITION_VALUATION,F04,raw__daily__cxt_five_bi_V230619__di_1,0.07381725993445766,0.09337638827981665,0.1026958127620058
LOO-G-POSITION_VALUATION,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05875818085016374,0.07432715213965072,0.09241842944047982
LOO-G-POSITION_VALUATION,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.10338458884809319,0.09808355985104555,0.015182712244572662
LOO-G-POSITION_VALUATION,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.08813727127524561,0.08361804615710705,0.07862139863032545
LOO-G-POSITION_VALUATION,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08813727127524561,0.08361804615710705,0.021988068690826822
LOO-G-POSITION_VALUATION,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.08813727127524561,0.08361804615710705,0.017219914562597846
LOO-G-POSITION_VALUATION,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.23503272340065498,0.14865430427930143,0.1422009128492579
LOO-G-POSITION_VALUATION,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.0,0.0,0.0
LOO-G-POSITION_VALUATION,F12,raw__weekly__cxt_bi_status_V230101,0.05875818085016374,0.07432715213965072,0.04934679281336314
SOLO-F01,F01,raw__30m__cxt_bi_status_V230101,1.0,1.0,1.0
SOLO-F01,F02,raw__30m__cxt_third_buy_V230228__di_1,0.0,0.0,0.0
SOLO-F01,F03,raw__daily__cxt_bi_status_V230101,0.0,0.0,0.0
SOLO-F01,F04,raw__daily__cxt_five_bi_V230619__di_1,0.0,0.0,0.0
SOLO-F01,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.0,0.0,0.0
SOLO-F01,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.0,0.0,0.0
