hypothesis_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M04,09:45,2021,139,-0.0015694170763532712,-0.001339286139558249,0.4244604316546763,0.6026874781538553,-0.20093620453156946,-0.2169001662397657,-0.9263994952841604
M04,09:45,2022,133,-0.0020236883147622085,-0.0021787711906340324,0.39097744360902253,0.6238885680117641,-0.2436453732020385,-0.24706777804663915,-0.9861479110240162
M04,09:45,2023,131,-0.0009897285026624475,-0.0008831542346944277,0.44274809160305345,0.7067705025400565,-0.12497789026437467,-0.14813692401938972,-0.8436646777410894
M04,09:45,2024,126,-0.00033485801676312577,-0.0010989790941663968,0.40476190476190477,0.9279715696031927,-0.052630075402898324,-0.15911885388389868,-0.3307595179217413
M04,09:45,2025,136,-0.0002509912639185711,-4.8874121314823604e-05,0.5,0.9345209540376644,-0.042687454724932294,-0.15272085993051654,-0.27951292799394806
M04,09:45,2026,94,-0.00120763476241626,2.361621660540436e-05,0.5,0.7803391504182741,-0.11483392099294754,-0.20138290089359945,-0.5702267694198128
M05,09:45,2021,122,-0.0014736004955708314,-0.0009239262996272868,0.4344262295081967,0.6310915617929753,-0.16884711642058825,-0.1735019674242162,-0.9731711918156712
M05,09:45,2022,142,-0.001696351870325153,-0.0017939480288514664,0.4154929577464789,0.674084781412078,-0.2215793934633904,-0.23104811621958432,-0.9590183944750494
M05,09:45,2023,142,-0.0010076007935605786,-0.0007094316428605252,0.44366197183098594,0.6886401803847154,-0.13655001270963296,-0.17915081773098407,-0.7622070300269508
M05,09:45,2024,134,-0.003332225664463126,-0.0038763804995683437,0.31343283582089554,0.4530668980311107,-0.36649066758939475,-0.36492348046222745,-1.004294563685467
M05,09:45,2025,125,-0.001219144799973419,-0.0010262380340334554,0.448,0.7083185014052613,-0.1478298283773607,-0.17616064651071994,-0.8391762366083549
M05,09:45,2026,91,-0.0010498697352297416,-0.001319996013027902,0.4725274725274725,0.8224280557691153,-0.09837309493958668,-0.1517955032520487,-0.6480633011654051
M06,09:45,2021,165,-0.0006503033654717827,-0.0002454461838584665,0.48484848484848486,0.8000525750758957,-0.10662592552706407,-0.1258421917027751,-0.8472987007322818
M06,09:45,2022,160,-0.0005598396567094543,-0.0013353265805123304,0.425,0.8757599189524018,-0.09483102136116317,-0.16729753628486688,-0.5668405134172991
M06,09:45,2023,162,-0.0012427601826565748,-0.001609250422676678,0.37037037037037035,0.6344656646154706,-0.18567557784091682,-0.22482016711744357,-0.8258848848907845
M06,09:45,2024,168,-0.0014723762089417748,-0.0027739357958379007,0.3392857142857143,0.7078865409256748,-0.2288241375557637,-0.2845578141133196,-0.804139356597106
M06,09:45,2025,160,0.00018286728260481221,-0.0005944373744151132,0.43125,1.0578783253794244,0.02210052158791842,-0.148682407761214,0.14864247842563974
M06,09:45,2026,106,0.0005041872718410893,0.0017854837584230232,0.5660377358490566,1.1067722697660647,0.044892172215179826,-0.1388674052039588,0.3232736447350285
M07,09:45,2021,205,-0.0008754949750314571,-0.0009216043907156468,0.45365853658536587,0.7431575195331251,-0.1708835906145444,-0.20352371227936672,-0.8396249690059756
M07,09:45,2022,195,-0.0018578018420060713,-0.0015237770917696514,0.40512820512820513,0.647000409499322,-0.3135199088957663,-0.31726603356893945,-0.9881924811457664
M07,09:45,2023,207,-0.001623612728797374,-0.0015210071895338517,0.3864734299516908,0.538298504349638,-0.2893045852719234,-0.3366319382687907,-0.8594092015146887
M07,09:45,2024,204,-0.0014426130600834377,-0.0039291416379825805,0.35294117647058826,0.757523156991077,-0.2736581404004793,-0.3056661229492015,-0.8952844945985671
M07,09:45,2025,198,5.578653943285067e-05,-0.0003363022166034124,0.4595959595959596,1.0160273201319348,0.0022538705000585413,-0.11730935995477054,0.01921304916272271
M07,09:45,2026,133,3.385960473220115e-05,0.0020842480509504213,0.556390977443609,1.0066450066495025,-0.007779897004277614,-0.13961934041147828,-0.05572220138950047
M01,10:30,2021,131,0.0005140384693246436,5.549434158602651e-05,0.5038167938931297,1.1654028984809706,0.06393023363814132,-0.042922619070184465,1.489429932819488
M01,10:30,2022,138,-0.0017768659375625995,-0.0019446318719589795,0.391304347826087,0.6633903484666823,-0.2249291085816787,-0.22313482333312618,-1.008041260533654
M01,10:30,2023,129,-0.0012972160855383855,-0.0018942191825275234,0.4263565891472868,0.6440865181738071,-0.1572003709390264,-0.22649062214028537,-0.6940701096297864
M01,10:30,2024,141,-0.0016536212710030233,-0.0032093074927090903,0.3900709219858156,0.7257648734078983,-0.21978578419800432,-0.2564613889456846,-0.8569936593634853
M01,10:30,2025,135,0.0012366856783161185,-0.00035712130900211747,0.48148148148148145,1.4055094968938906,0.17459815611769747,-0.03918012691855577,4.456293785893979
M01,10:30,2026,91,0.00015709288038190627,0.0023619296451604654,0.5824175824175825,1.0247781134873322,0.002391846051998714,-0.14628943069268263,0.016350094744871774
M02,10:30,2021,132,-0.00034930425394939747,0.000921354602561153,0.5378787878787878,0.9031673843538558,-0.05028596650863015,-0.107618412288079,-0.46726173932042275
M02,10:30,2022,132,-0.0023340718446436494,-0.0018872151052747865,0.3939393939393939,0.5592059506651742,-0.27135397167066166,-0.26420290670676705,-1.0270665643048031
M02,10:30,2023,129,-0.0009712869636618425,-0.0010428021739359306,0.43410852713178294,0.7351713412118818,-0.12153717743688608,-0.21509798140957448,-0.5650316969059023
M02,10:30,2024,143,-0.0017956057948997036,-0.003107938409131039,0.36363636363636365,0.6689735445474218,-0.23524879790389852,-0.25182066089584865,-0.9341918056564702
M02,10:30,2025,135,-0.000728739236034749,-0.00106735588814455,0.4074074074074074,0.8068491875527437,-0.09866336819687149,-0.17655758562027313,-0.558816931315935
M02,10:30,2026,96,-0.0024739386195015236,-0.0037353242157856514,0.4583333333333333,0.6906964724908454,-0.2216720484036302,-0.2823639153841304,-0.785057991925298
M03,10:30,2021,129,-0.001002547778576779,0.00014229205928439903,0.5038759689922481,0.7384367302269053,-0.12589086743439093,-0.16813374300703132,-0.748754326067232
M03,10:30,2022,139,-0.0017153769788328147,-0.001686262742598199,0.41007194244604317,0.6849243080800389,-0.22210230603796222,-0.22590848087886573,-0.98315169565084
M03,10:30,2023,146,-0.0014998286186389718,-0.0017137073999637376,0.3493150684931507,0.5697223891195735,-0.19979496927962925,-0.2318541798945324,-0.8617268378362363
M03,10:30,2024,145,-0.0016103655873405535,-0.0032984030750826676,0.35172413793103446,0.7141071372582374,-0.22214271635767946,-0.2421253379658458,-0.9174699278644473
M03,10:30,2025,140,0.0002411416222328663,-0.0006635840778442814,0.4785714285714286,1.065710074555468,0.025216752034579626,-0.11353415926268917,0.2221071807669309
M03,10:30,2026,100,-0.0021949107637394584,-0.00033176553964708866,0.48,0.7032732789402275,-0.20791253379563923,-0.27084230229759676,-0.7676516261746609
M04,10:30,2021,133,-0.001399877486353233,-0.0007990664396605451,0.45112781954887216,0.6740625639718976,-0.17548421950291193,-0.2042069056256508,-0.8593451772126017
M04,10:30,2022,125,-0.002090232774604205,-0.0025549651546024066,0.4,0.6542606458891407,-0.2389581830190235,-0.24033594406834635,-0.994267353330507
M04,10:30,2023,124,-0.0007415014555943428,-0.0011972536528440658,0.4274193548387097,0.7853785286636807,-0.09134764661989825,-0.12915250619981833,-0.7072851259933719
M04,10:30,2024,118,0.0008209631680996617,0.00023186422976784193,0.5084745762711864,1.1492664207841445,0.08083958473112296,-0.1325633673048825,0.6098184315520592
M04,10:30,2025,131,0.0005969712004031089,-0.0010297047577904062,0.46564885496183206,1.163235647825939,0.07400007445467516,-0.0659925533800998,1.1213397673591161
M04,10:30,2026,92,-0.00021369163859743113,0.0030262113285787207,0.5652173913043478,0.9649718254552229,-0.030556603182169795,-0.19457107534383844,-0.1570459695932263
M05,10:30,2021,109,-0.0006345759555534276,0.0006082699914691236,0.5229357798165137,0.8357866362690917,-0.07166711208947996,-0.10437846630017034,-0.6866082117299993
M05,10:30,2022,125,-0.001507242787854085,-0.001368511322891064,0.416,0.7164660380122354,-0.17941807321058545,-0.19852925743759697,-0.9037361823960951
M05,10:30,2023,131,-0.000944105438766971,-0.0010211775930162315,0.4580152671755725,0.7293591189648476,-0.11980056755371682,-0.19991652024708584,-0.5992529652159306
M05,10:30,2024,120,-0.003840512541962138,-0.0032091035019287117,0.35,0.44136438959363217,-0.3771087799321293,-0.3798639743435944,-0.9927468920520139
M05,10:30,2025,110,0.0001358564461353467,9.460453885468123e-05,0.5,1.0335979672331046,0.006597729064655722,-0.1217527796789517,0.054189555935011804
M05,10:30,2026,81,-0.0017445656145542911,-0.0010751441255553162,0.4444444444444444,0.7532964777698867,-0.13994694438450916,-0.21204366382984075,-0.6599911634087439
M06,10:30,2021,139,-0.00020811831510067472,0.000265236752376552,0.5179856115107914,0.9409745584429977,-0.03401394274892011,-0.10448866793152534,-0.325527575595188
M06,10:30,2022,137,-0.0005106983320741193,-0.0018501769580154814,0.40875912408759124,0.896276158550734,-0.0779943286237994,-0.13919103872216676,-0.560340157957155
M06,10:30,2023,134,-0.0016357855117814504,-0.0016687817653106563,0.3805970149253731,0.5669273743992784,-0.1998514959415868,-0.2502033659489089,-0.798756224496181
M06,10:30,2024,147,-0.0008346706927227646,-0.0031915691010924174,0.3741496598639456,0.847696713891519,-0.12989770252682853,-0.23559760945454322,-0.5513540770959788
M06,10:30,2025,143,0.0005078962773397626,-0.0006658280267730632,0.46153846153846156,1.152224970062126,0.06730028073981154,-0.11651935492098897,0.5775888545336303
M06,10:30,2026,92,0.0008204850243614247,0.0025333572734210774,0.5760869565217391,1.145001917043931,0.06651540103136244,-0.10659275993269401,0.6240142489355031
M07,10:30,2021,157,-0.0007283211036351673,0.00019803450889765983,0.5095541401273885,0.7978318271709826,-0.11455537980082997,-0.13535654372316863,-0.8463231747045696
M07,10:30,2022,154,-0.002146641918578954,-0.0028186321171549955,0.38961038961038963,0.6304183271154893,-0.29023471753683583,-0.29182859268817074,-0.9945383173846916
M07,10:30,2023,162,-0.001969507611808823,-0.0025264036813321122,0.36419753086419754,0.5173690556725296,-0.2768486413890492,-0.31953743582145966,-0.8664044032190874
M07,10:30,2024,154,-0.000374471432309604,-0.0033292552460384983,0.38961038961038963,0.9410540960120496,-0.07832761790314258,-0.22440857225278965,-0.3490402221128559
M07,10:30,2025,154,-0.0005344942009886623,-0.0018535437605808336,0.42207792207792205,0.8642926552219862,-0.08556136162802852,-0.11925967138554971,-0.7174375095452066
M07,10:30,2026,102,0.0008383313492761335,0.0019854961518294134,0.5294117647058824,1.1522683758646926,0.07691600450707248,-0.09992988045057705,0.7696997550708901
M01,11:30,2021,119,0.00046560113797779017,0.0008654950359441305,0.5378151260504201,1.1291377415029928,0.050407056691233354,-0.07359101761136866,0.6849620827018739
M01,11:30,2022,123,-0.0009219670114560783,-0.0016754288758383806,0.45528455284552843,0.8289287074659709,-0.11681366313083918,-0.1377129664794049,-0.8482401194103155
M01,11:30,2023,121,-0.0019272042019424262,-0.0015269172103429263,0.3884297520661157,0.5221368684549444,-0.21097478852031992,-0.2623277071550858,-0.8042413468570192
M01,11:30,2024,124,-0.0006957450452662552,-0.0035474588983218647,0.4032258064516129,0.8889141165143302,-0.09994343526728311,-0.20112632133940167,-0.4969187255139424
M01,11:30,2025,126,0.001086675157142884,-7.657894898827067e-05,0.5,1.2793534017539667,0.13656625117421184,-0.06127560413500133,2.2287214153504142
M01,11:30,2026,88,0.0003685788752570153,0.0028660056364836484,0.5340909090909091,1.055086092502295,0.019805579641024584,-0.15287723570998868,0.12955218315561504
M02,11:30,2021,121,-0.00022319764180525224,0.0010733036855929967,0.5454545454545454,0.944602853965659,-0.03339781812810072,-0.11066636646776185,-0.301788331849043
M02,11:30,2022,121,-0.0028763598187618185,-0.002450213701447823,0.4214876033057851,0.536471178636187,-0.30129043745065753,-0.29944993184476953,-1.0061462882778083
M02,11:30,2023,117,-0.0011283684697365609,-0.001889059934205184,0.4188034188034188,0.718984663445912,-0.12758827923337157,-0.18886831902070111,-0.6755409265827538
M02,11:30,2024,124,-0.000946733525937649,-0.0027673731896852294,0.4112903225806452,0.8309488963914543,-0.12101023414006196,-0.16552973782917557,-0.7310483042324568
M02,11:30,2025,125,0.0001056128734473436,9.271124606691217e-06,0.504,1.0267723825310011,0.006133105062323008,-0.1063996811862058,0.05764213758864284
M02,11:30,2026,89,-0.0019660097003975046,-0.0029879636687899502,0.43820224719101125,0.7527375929034036,-0.1706658362836596,-0.27983467189455014,-0.6098809526646916
M03,11:30,2021,112,-0.0009781307995107122,-0.0006158124482883442,0.4375,0.7766657822216457,-0.10947868227496527,-0.1573856195830371,-0.6956079123684106
M03,11:30,2022,117,-0.002276849325235191,-0.0022790649934363305,0.4188034188034188,0.6343092852139144,-0.24410461956678675,-0.25941561384478706,-0.9409789023448637
M03,11:30,2023,122,-0.0013879411364138684,-0.0024103691752785372,0.3524590163934426,0.6423732255880338,-0.15918244306256968,-0.1932660305926377,-0.8236441891751338
M03,11:30,2024,118,-0.0013432555939052902,-0.003137887458392552,0.3644067796610169,0.7796744756127677,-0.16252363631705902,-0.284734455156918,-0.5707901989855487
M03,11:30,2025,121,0.0003087631500304915,-0.0003595286917307261,0.48760330578512395,1.0662001456693497,0.025820514659157245,-0.13617133804209414,0.18961783757442
M03,11:30,2026,84,-0.002940301000326421,-0.0013710558126226458,0.4523809523809524,0.6125763212158633,-0.2274980100151216,-0.2648810062860688,-0.858868716956723
M04,11:30,2021,120,-0.001122493484196956,-0.0006480576725742537,0.4583333333333333,0.7523146648958621,-0.1322242794929337,-0.1710683522843468,-0.7729324432443987
M04,11:30,2022,117,-0.0021185778672304523,-0.00297420901255685,0.4017094017094017,0.6808803878089515,-0.23027768874189503,-0.2280338954375215,-1.0098397358869322
M04,11:30,2023,114,-0.0007210611103228828,-0.0008763501380830707,0.4649122807017544,0.8057957970572637,-0.08290976125207716,-0.13937457360700678,-0.5948700620663928
M04,11:30,2024,108,0.002393359979108894,-0.0006096831750905807,0.4722222222222222,1.4461797476972285,0.26421546816363506,-0.13658205953572145,1.9344815055635662
M04,11:30,2025,118,0.0011529770025007064,0.0011173634681951317,0.5169491525423728,1.31298747930388,0.1380931139899999,-0.060073630513033494,2.2987309541753
M04,11:30,2026,81,-0.0002865698853026425,0.0015241832967796132,0.5308641975308642,0.9574021847920865,-0.034041238057531564,-0.21671560359130415,-0.1570779283697941
M05,11:30,2021,100,-0.0006381680784128607,0.00117152665728959,0.53,0.8643824641578453,-0.06804538771576996,-0.10868410776289428,-0.6260840624851801
M05,11:30,2022,113,-0.0018354152933593383,-0.00119928043174089,0.46017699115044247,0.7033329799372935,-0.19651983304358178,-0.22275600621342162,-0.8822201312735736
M05,11:30,2023,116,-0.0006104123204927481,-0.0002798946012820269,0.4827586206896552,0.8332343342842519,-0.0723232717062261,-0.135118515452043,-0.5352580396866147
M05,11:30,2024,111,-0.0025085557555113275,-0.002688083442090372,0.44144144144144143,0.6059849627289334,-0.2514992764428703,-0.2640424698713846,-0.9524955457558624
M05,11:30,2025,102,-2.3577384269643454e-05,0.0005494022485563743,0.5196078431372549,0.9949134024708957,-0.009806888133016778,-0.13613532711939325,-0.07203779019398802
M05,11:30,2026,74,-0.002252010151420158,-0.001199280431741001,0.4189189189189189,0.6961225854488486,-0.16101448742553592,-0.23915610190332082,-0.6732610464215806
M06,11:30,2021,126,-0.0006567008894912729,0.00019239166780715689,0.5079365079365079,0.8491877439537796,-0.08652117036596818,-0.12845976302840267,-0.6735274013142792
M06,11:30,2022,121,-0.00028614965290218547,-0.0016202416791004648,0.4380165289256198,0.9467688060939373,-0.04610073786290558,-0.14763871342677715,-0.3122537225696544
M06,11:30,2023,124,-0.0020860639465118598,-0.0016914790661098356,0.3951612903225806,0.5141633710627568,-0.23112877239101415,-0.2709473575235405,-0.8530394040507783
M06,11:30,2024,128,-0.0002966268904995555,-0.0014487727014082519,0.421875,0.948525524889752,-0.055930653965236,-0.24164503809670734,-0.23145790373254974
M06,11:30,2025,130,0.0005064760274869974,-0.0005084983620882166,0.47692307692307695,1.1210831989470273,0.05708745616545374,-0.1115746121625375,0.5116527412373254
M06,11:30,2026,85,0.001791834913042995,0.002536881860908613,0.5529411764705883,1.3143937332848996,0.1505047667706525,-0.09494243731342411,1.58522122487551
M07,11:30,2021,129,-0.0009705287720724867,0.00032942527512580533,0.5193798449612403,0.7640536603843896,-0.1241540466668094,-0.1548248515575391,-0.8018999883921658
M07,11:30,2022,130,-0.0021955112558687154,-0.003091207898950954,0.4153846153846154,0.6340078719547658,-0.2569861001267194,-0.29701402171679037,-0.8652322157765383
M07,11:30,2023,130,-0.0016648893867260513,-0.001446508332624219,0.4076923076923077,0.6058031723682072,-0.19863514528693316,-0.25458768906136253,-0.7802229008766276
M07,11:30,2024,127,0.001140284319316707,-0.002647717356741408,0.4094488188976378,1.1815680961104436,0.12194479957429438,-0.26242423055347275,0.464685746880551
M07,11:30,2025,125,0.0004237895663945661,2.3028141157288573e-05,0.504,1.0932907550671758,0.04454314824215033,-0.11847141333004685,0.37598224744781744
