anchor,trade_number,signal_date,entry_date,exit_date,holding_sessions,flat_sessions_before,entry_open,exit_open,gross_return,net_return,cost_drag,short_holding,rapid_reentry,causal_falling_trend,total_score,score_margin,role_confirmation_contribution,role_entry_timing_contribution,role_opportunity_contribution,role_risk_context_contribution,risk_overridden
EX14_UNIQUE_FEASIBLE_10BP,64,2023-01-09,2023-01-10,2023-01-11,1,10.0,1.011,1.013,0.001978239366963397,-2.371515724608475e-05,0.0020019545242094816,True,False,True,0.13247009295513637,0.060457366457780465,-0.07428453223856597,0.015540339726017028,0.18583959492411978,0.005374690543565569,False
EX14_UNIQUE_FEASIBLE_10BP,65,2023-01-16,2023-01-17,2023-01-19,2,4.0,1.019,1.028,0.00883218842001976,0.006816539691907986,0.002015648728111774,True,False,False,0.13691165819800472,0.06489893170064881,0.0575950153124171,-0.023174190819499074,0.12527150150464222,-0.022780667799555544,True
EX14_UNIQUE_FEASIBLE_10BP,66,2023-01-30,2023-01-31,2023-02-01,1,3.0,1.053,1.042,-0.010446343779677014,-0.012423473961935327,0.001977130182258313,True,True,False,0.1479436436346712,0.07593091713731528,-0.027692167358432718,0.04553046902183937,0.1125530664569272,0.01755227551433733,False
EX14_UNIQUE_FEASIBLE_10BP,67,2023-02-14,2023-02-15,2023-02-20,3,10.0,1.047,1.01,-0.03533906399235909,-0.03726645846989651,0.0019273944775374252,True,False,False,0.10806532771605817,0.03605260121870227,0.036632039805987705,-0.007906488632534982,0.07350455926624705,0.005835217276358395,False
EX14_UNIQUE_FEASIBLE_10BP,68,2023-03-06,2023-03-07,2023-03-09,2,11.0,1.03,1.018,-0.011650485436893177,-0.013625209741714439,0.0019747243048212626,True,False,False,0.1580247667429451,0.0860120402455892,0.04409506365811519,-0.025355291131922524,0.11537582837238572,0.023909165844366684,False
EX14_UNIQUE_FEASIBLE_10BP,69,2023-03-15,2023-03-16,2023-04-18,22,5.0,1.024,1.155,0.1279296875,0.12567608173076938,0.0022536057692306155,False,False,False,0.1734115224035288,0.1013987959061729,0.0744232502542096,0.050437944724792114,0.0948933326617045,-0.046343005237177375,True
EX14_UNIQUE_FEASIBLE_10BP,70,2023-04-21,2023-04-24,2023-05-05,6,4.0,1.136,1.087,-0.04313380281690138,-0.04504562339069362,0.0019118205737922445,False,False,False,0.09310693605912787,0.021094209561771965,0.053883119514437826,0.06734147214607379,-0.029813464274207724,0.001695808672823991,False
EX14_UNIQUE_FEASIBLE_10BP,71,2023-06-16,2023-06-19,2023-06-20,1,31.0,1.073,1.074,0.0009319664492080104,-0.0010678976196215606,0.001999864068829571,True,False,False,0.09930308289521349,0.027290356397857582,0.018202252417881926,-0.04116826839699249,0.15826457454077875,-0.03599547566645469,True
EX14_UNIQUE_FEASIBLE_10BP,72,2023-06-21,2023-06-26,2023-06-28,2,2.0,1.036,1.036,0.0,-0.0019980019980018193,0.0019980019980018193,True,True,False,0.16527888644688643,0.09326615994953052,0.09843473732271603,0.06461509675554448,0.0026817760053239256,-0.0004527236366980124,True
EX14_UNIQUE_FEASIBLE_10BP,73,2023-06-28,2023-06-29,2023-06-30,1,1.0,1.03,1.024,-0.005825242718446644,-0.007811605869858074,0.00198636315141143,True,True,False,0.11554079796338895,0.04352807146603305,0.04266211870710928,-0.024810016053816664,0.050274881133571946,0.04741381417652439,False
EX14_UNIQUE_FEASIBLE_10BP,74,2023-07-31,2023-08-01,2023-08-02,1,22.0,0.993,0.993,0.0,-0.0019980019980019303,0.0019980019980019303,True,False,True,0.11113614169222563,0.039123415194869726,-0.006216045921050156,-0.014995064647911161,0.16361358551873018,-0.03126633325754321,True
EX14_UNIQUE_FEASIBLE_10BP,75,2023-08-11,2023-08-14,2023-08-15,1,8.0,0.952,0.954,0.0021008403361344463,9.864085494348807e-05,0.0020021994811909583,True,False,True,0.0863418069989195,0.01432908050156359,-0.006320044887451363,0.060252896130697606,0.03051261693445178,0.0018963388212214858,False
EX14_UNIQUE_FEASIBLE_10BP,76,2023-08-28,2023-08-29,2023-09-01,3,10.0,0.898,0.966,0.07572383073496658,0.07357453237185974,0.002149298363106844,True,False,True,0.22768066258222433,0.15566793608486842,-0.04181611281114182,0.06843202230228551,0.15185012367704598,0.04921462941403467,False
EX14_UNIQUE_FEASIBLE_10BP,77,2023-09-05,2023-09-06,2023-09-07,1,3.0,0.95,0.953,0.0031578947368420263,0.0011535832588465134,0.002004311477995513,True,True,True,0.1021253088532382,0.030112582355882295,0.003997348577382518,0.05261904503721555,0.006089222294238087,0.03941969294440203,False
EX14_UNIQUE_FEASIBLE_10BP,78,2023-10-09,2023-10-10,2023-10-20,8,17.0,0.91,0.888,-0.0241758241758242,-0.026125522828819414,0.0019496986529952132,False,False,True,0.1611723775239202,0.08915965102656428,0.01594867784364578,-0.018811990194652187,0.18105819107534482,-0.017022501200418233,True
EX14_UNIQUE_FEASIBLE_10BP,79,2023-10-25,2023-10-26,2023-10-27,1,4.0,0.864,0.866,0.0023148148148148806,0.0003121878121878918,0.002002627002626989,True,False,True,0.17621794167369745,0.10420521517634154,-0.012828550670283684,0.05316432011532142,0.1339832648572911,0.0018989073713686173,False
EX14_UNIQUE_FEASIBLE_10BP,80,2023-10-31,2023-11-01,2023-11-13,8,3.0,0.898,0.915,0.018930957683741756,0.01689513159446343,0.0020358260892783253,False,True,True,0.09024220330366549,0.018229476806309583,-0.012216077161181917,-0.02917221667866355,0.1275753518121789,0.004055145331332033,False
EX14_UNIQUE_FEASIBLE_10BP,81,2023-11-13,2023-11-14,2023-11-15,1,1.0,0.915,0.938,0.025136612021857907,0.02308838702281335,0.0020482249990445567,True,True,False,0.07327437152896563,0.0012616450316097205,0.050758320952823115,-0.034079692381616296,0.10357747934441572,-0.0469817363866569,True
EX14_UNIQUE_FEASIBLE_10BP,82,2023-11-15,2023-11-16,2023-11-20,2,1.0,0.922,0.912,-0.010845986984815648,-0.012822318679151512,0.0019763316943358644,True,True,False,0.2720589084381053,0.2000461819407494,0.08409345116069929,0.04443991886562764,0.13709673450482224,0.0064288039069561615,False
EX14_UNIQUE_FEASIBLE_10BP,83,2023-11-21,2023-11-22,2023-11-24,2,2.0,0.905,0.896,-0.009944751381215533,-0.011922883746088075,0.0019781323648725424,True,True,True,0.1505743356182391,0.0785616091208832,0.04370210837112129,0.04498519394373351,0.05919450220848056,0.0026925310949037625,False
EX14_UNIQUE_FEASIBLE_10BP,84,2023-12-04,2023-12-05,2023-12-08,3,7.0,0.881,0.87,-0.012485811577752526,-0.014458866899275447,0.0019730553215229207,True,False,True,0.13629883973231216,0.06428611323495625,-0.00686790986764696,0.054800145349639,0.08793235352011222,0.0004342507302079069,False
EX14_UNIQUE_FEASIBLE_10BP,85,2023-12-08,2023-12-11,2023-12-19,6,1.0,0.882,0.86,-0.024943310657596363,-0.02689147587106766,0.001948165213471298,False,True,True,0.14185183570218549,0.06983910920482958,0.01622377818080673,-0.05698124566206244,0.16394571825570925,0.01866358492773194,False
EX14_UNIQUE_FEASIBLE_10BP,86,2023-12-22,2023-12-25,2023-12-26,1,4.0,0.863,0.856,-0.008111239860950192,-0.010093035585503674,0.001981795724553481,True,False,True,0.13950751433124697,0.06749478783389107,-0.017451060893136534,0.008997038788746699,0.15715043913374274,-0.009188902698105902,True
EX14_UNIQUE_FEASIBLE_10BP,87,2023-12-27,2023-12-28,2024-01-04,4,2.0,0.849,0.849,0.0,-0.0019980019980018193,0.0019980019980018193,False,True,True,0.08382325182156425,0.011810525324208343,0.05688087853104046,0.0024537378514763717,0.03748740441101282,-0.012998768971965405,True
EX14_UNIQUE_FEASIBLE_10BP,88,2024-01-08,2024-01-09,2024-02-02,18,3.0,0.803,0.709,-0.11706102117061035,-0.11882513501442515,0.0017641138438148074,False,True,True,0.13854088859480498,0.06652816209744908,-0.0076536622603086794,0.06352454659933277,0.027633888981390384,0.05503611527439052,False
EX14_UNIQUE_FEASIBLE_10BP,89,2024-02-02,2024-02-05,2024-02-07,2,1.0,0.687,0.74,0.07714701601164475,0.07499487412151185,0.002152141890132908,True,True,True,0.2453052854166626,0.1732925589193067,-0.03502799348422204,0.04662101917805109,0.17817946312228344,0.055532796600550126,False
EX14_UNIQUE_FEASIBLE_10BP,90,2024-02-08,2024-02-19,2024-02-20,1,2.0,0.78,0.776,-0.00512820512820511,-0.0071159609621146425,0.0019877558339095325,True,True,True,0.15901307152599903,0.08700034502864312,-0.0625849463682006,0.034079692381616296,0.15468015610885272,0.03283816940373066,False
EX14_UNIQUE_FEASIBLE_10BP,91,2024-02-28,2024-02-29,2024-03-07,5,7.0,0.788,0.831,0.05456852791878153,0.052461497892970055,0.002107030025811474,False,False,True,0.2929881531373943,0.22097542664003839,0.09447327564163908,0.06843202230228551,0.09007777432437139,0.04000508086909824,False
EX14_UNIQUE_FEASIBLE_10BP,92,2024-03-19,2024-03-20,2024-04-01,8,9.0,0.83,0.784,-0.055421686746987886,-0.057308956104136666,0.0018872693571487797,False,False,False,0.16465506465924729,0.09264233816189138,0.03190319492260732,0.05152849488100383,0.0891017222670235,-0.007878347411387366,True
EX14_UNIQUE_FEASIBLE_10BP,93,2024-04-08,2024-04-09,2024-04-10,1,4.0,0.756,0.769,0.01719576719576721,0.01516340802055094,0.0020323591752162695,True,False,True,0.17334483546893845,0.10133210897158254,0.01865514484552938,0.05643597058395658,0.07458380748699722,0.023669912552455277,False
EX14_UNIQUE_FEASIBLE_10BP,94,2024-04-24,2024-04-25,2024-05-15,11,11.0,0.753,0.775,0.02921646746347939,0.027160090905111067,0.0020563765583683224,False,False,True,0.10722273551072237,0.03521000901336646,0.040695164759339535,-0.05152849488100383,0.14257729101384123,-0.024521225381454556,True
