trial_id,confirmation_gate_quantile,confirmation_threshold,feasible,behavior_hash,full_cagr,full_total_return,full_maximum_drawdown,full_calmar,closed_trades,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio,short_holding_trade_share,short_holding_average_net_return,short_holding_loss_share,cost_drag_0bp_to_10bp_cagr,discovery_cagr,discovery_maximum_drawdown,confirmation_cagr,confirmation_maximum_drawdown
S007-EX20-CONFIRMATION-GATE-00006,0.275,-0.01324847161934921,False,7ccbe0f23ec5dc142485afa14d94ee0e09bbe3ab59cd58c978c655a781785589,0.2298752394254293,2.089987493687553,-0.29196320240922946,0.7873431909519382,116,5.0,3.0,0.3311499272197962,0.6293103448275862,-0.0022974774047023285,0.5953432572050474,0.05346079631663336,-0.009949615114060228,-0.211677480943672,0.5687141713855177,-0.17986181006713264
S007-EX20-CONFIRMATION-GATE-00005,0.3,-0.012030838073403573,False,1f57476e39dd7c3fede7c884413bb34e29a39c4ac71092c8782adc32fc89a3b9,0.23534760776320862,2.1656986339477293,-0.2746148236856032,0.8570098460258277,114,5.0,3.0,0.3296943231441048,0.6228070175438597,-0.002025455208489516,0.5860489165643381,0.05275334241408802,-0.001607373321884098,-0.19620658344689235,0.5687141713855177,-0.17986181006713264
S007-EX20-CONFIRMATION-GATE-00012,0.325,-0.006020470286886475,False,5b263006353409321e680ccb61660004ff47aca5b1bf8b28d46fb831f938791b,0.22437789136565112,2.0154260525590435,-0.26170220798157773,0.8573786713387072,111,5.0,2.0,0.32532751091703055,0.6126126126126126,-0.0018866720830492106,0.5807829475995525,0.0508807856862763,0.00236964276056173,-0.18959488671848845,0.5324186328495595,-0.17986181006713264
S007-EX20-CONFIRMATION-GATE-00007,0.35,-0.0006587449913969945,False,532f0789addab72a243cf19c1911f8e404e438d5d24fbd819e1188e7b76ab7c0,0.22418926734520883,2.0128940307139227,-0.26450211365227694,0.8475897007005975,109,5.0,2.0,0.3180494905385735,0.6146788990825688,-0.0019232664494721343,0.5836420574222003,0.049937873049343384,0.0036529758679959556,-0.1912711441578746,0.529716493596941,-0.18291443360286308
S007-EX20-CONFIRMATION-GATE-00014,0.375,0.0004164067388000331,False,9ddc3c0834d0d55863937530dee0be2d3294b3457a6a3e9316f30b2bf345d32f,0.22671294117749907,2.046915100758868,-0.25943380364252366,0.8738758712025401,107,5.0,2.0,0.3165938864628821,0.6074766355140186,-0.0018106803143552986,0.5790549234367726,0.049104505687207034,0.0075669570484673265,-0.18561787670155216,0.529716493596941,-0.18291443360286308
S007-EX20-CONFIRMATION-GATE-00002,0.4,0.0060055351816793315,False,c5f80e1efce113d1fac442194916d89041769dfc7541237de021168c6b942e6b,0.2454019785280237,2.308750213086319,-0.21539814351305153,1.1392947707237513,105,5.0,2.0,0.31077147016011647,0.6,-0.0013346503182000535,0.5881797423261108,0.048902733170861135,0.01313062339137927,-0.16779769894885088,0.5698887250515683,-0.14248572068217114
S007-EX20-CONFIRMATION-GATE-00008,0.425,0.007249795114149959,False,6af7035579488b833c90cdda87dd20a30bfa03a7248f3d372223628c9bae5856,0.24176842304919832,2.2564562018520897,-0.2153981435130512,1.122425751243995,103,5.0,2.0,0.3078602620087336,0.6019417475728155,-0.0016360501262469179,0.5866352380097547,0.04781363934167637,0.015542246820373418,-0.16637391400265555,0.5560153092790858,-0.14248572068217114
S007-EX20-CONFIRMATION-GATE-00003,0.45,0.009175137779566266,False,5004501f0d58f1019244e3a61cec92acfbb2e43fb490d6fec15cd47208078983,0.21585457071225278,1.902732344267235,-0.26516978698900506,0.8140240001067803,100,4.0,2.0,0.302037845705968,0.6,-0.0028120545344098432,0.5809743306861783,0.04542711504389385,-0.005150197205797236,-0.1985853492694506,0.5226825278402034,-0.14248572068217114
S007-EX20-CONFIRMATION-GATE-00009,0.475,0.011437483749356426,False,f15f0dfd0f314cffaf926ab9feee5e2c3367c4c828b661936c01b941c26f9d85,0.22205426279509122,1.9843553268135619,-0.2445068299755675,0.9081720245494989,99,4.0,2.0,0.29839883551673946,0.5959595959595959,-0.0023060670626296456,0.5621900887149968,0.045193822245032766,0.0044588965065193165,-0.1715228829651415,0.5226825278402034,-0.14248572068217114
S007-EX20-CONFIRMATION-GATE-00000,0.5,0.012871107520617136,False,5593634b4b6150aaf08112da7c9101c7b8e0cddcc1e5a1d921aca595af84d2f3,0.21846467529340607,1.9368708987590928,-0.25664908328393354,0.8512193867909371,96,4.0,2.0,0.29621542940320233,0.5833333333333334,-0.002718062651301284,0.562109968951393,0.04367140688962223,0.004114447849531189,-0.1715228829651414,0.5137831807142188,-0.15529433730291708
