hypothesis_id,exit_bars,regime,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M04,6,trend_up,294,-0.000862506027673379,-0.0008868867263602809,0.391156462585034,0.5904423519945896,-0.044213009587829366,-0.22370019863587054,-0.19764403365504998
M05,6,range,388,-0.0011788047789989494,-0.00119928043174089,0.3479381443298969,0.4490066545275745,-0.07802480941899914,-0.3837414809932106,-0.20332649266129144
M05,6,trend_down,183,-0.0015209483855972525,-0.001379114914918378,0.3114754098360656,0.32911470073538207,-0.048137378412344556,-0.24711720373637758,-0.1947957393678551
M05,6,trend_up,223,-0.0016748447098883473,-0.001556441425686339,0.31390134529147984,0.3577776490370413,-0.06411698681769551,-0.3120615289462828,-0.2054626439670248
M06,6,range,484,-0.0010892277945585473,-0.001199280431741001,0.34710743801652894,0.4331524250483973,-0.08919832201090105,-0.41092960341456286,-0.2170647265850888
M06,6,trend_down,213,-0.0009658764034251254,-0.0013649739817687134,0.3286384976525822,0.5872317608671564,-0.036117568086671215,-0.20354543037342487,-0.17744229394101282
M06,6,trend_up,278,-0.0011054973798034437,-0.0013294485464996342,0.28776978417266186,0.446976305797643,-0.05304646712420513,-0.26027773518436903,-0.20380716424564477
M07,6,range,573,-0.001199455133418946,-0.0010584455869060427,0.3507853403141361,0.4214200446554327,-0.11484419606683782,-0.5046761102685813,-0.22756019896745144
M07,6,trend_down,276,-0.0009125591508886236,-0.0016264380406508239,0.33695652173913043,0.5996380436805072,-0.043972713269704755,-0.23889214324618047,-0.1840693154332434
M07,6,trend_up,353,-0.0013166074404781858,-0.0013566462296880077,0.33994334277620397,0.424160507012708,-0.07927272528232054,-0.37389930801770566,-0.21201623961969637
M01,12,range,420,-0.0010534255085189732,-0.001369715267812821,0.3904761904761905,0.5550469139070312,-0.07582465608349465,-0.36723840117988793,-0.20647256888135923
M01,12,trend_down,204,-0.0016629888882878135,-0.00228636619238215,0.31862745098039214,0.4405633958913146,-0.05852696329450846,-0.3019851902714711,-0.1938073957928048
M01,12,trend_up,228,-0.0012659311352869755,-0.0017557169701252762,0.3815789473684211,0.529684031542852,-0.050126922840689314,-0.2655932184299822,-0.18873570318175942
M02,12,range,407,-0.0012237839364219964,-0.0010392162138613825,0.3931203931203931,0.5147196830720081,-0.08501712601726719,-0.4187836183611562,-0.20300967442319814
M02,12,trend_down,180,-0.0013921952326451214,-0.0012686801482201249,0.3277777777777778,0.419491449365183,-0.04351602235518981,-0.22373867177374063,-0.19449486318215073
M02,12,trend_up,246,-0.000981538637937732,-0.0010270388826714716,0.4146341463414634,0.6186107906987203,-0.042293169904758066,-0.24375367476251542,-0.17350782483982446
M03,12,range,416,-0.0011850927837618623,-0.0013295165890984117,0.375,0.5056019126657391,-0.08400490328134969,-0.40269052200031863,-0.20860908983917734
M03,12,trend_down,213,-0.0015298744553219115,-0.0014041626306268151,0.3380281690140845,0.4197363565474883,-0.05629309090091006,-0.2818564587419481,-0.1997225508053688
M03,12,trend_up,245,-0.0011474623790312998,-0.0015107243729847175,0.3510204081632653,0.5789680980895431,-0.049111831609620404,-0.2511330369505679,-0.19556101501407558
M04,12,range,435,-0.0015194164766591071,-0.0015422163011203915,0.3471264367816092,0.4368417404308955,-0.11079959845729714,-0.5020159847235324,-0.22070930374521067
M04,12,trend_down,198,-0.000466511141279746,-0.0015125716602547579,0.4090909090909091,0.8297018850014978,-0.01693687087260609,-0.19902205789931982,-0.08510047103007055
M04,12,trend_up,274,-0.0009333835950255403,-0.0008956800874492798,0.4197080291970803,0.6578880674383897,-0.04490318351856748,-0.23102714467894359,-0.19436323632432476
M05,12,range,350,-0.0010910586797317618,-0.0010708401421440361,0.4057142857142857,0.5692279950756798,-0.06587669676423202,-0.33807399100335545,-0.19485881350623682
M05,12,trend_down,167,-0.0013687049532889524,-0.001199280431741001,0.3592814371257485,0.5333446773163645,-0.04007057915365275,-0.21238497214935526,-0.18866955956504286
M05,12,trend_up,197,-0.0014081772215161772,-0.0010429246522215552,0.38578680203045684,0.4963643873365443,-0.04825411975321048,-0.24320536256973424,-0.1984089464284513
M06,12,range,438,-0.0012630231196432368,-0.0015350304459841868,0.3538812785388128,0.4933193496956364,-0.09372730003978358,-0.4295583540511023,-0.21819456927296385
M06,12,trend_down,200,-0.0009637840676152693,-0.001668115657017577,0.37,0.6389917780825025,-0.034061481225848955,-0.20972410243237627,-0.16241090475917896
M06,12,trend_up,251,-0.0011241709301404346,-0.001199280431741001,0.398406374501992,0.5726774466133704,-0.049139326143891604,-0.25549078137206793,-0.1923330692402973
M07,12,range,540,-0.001238487021851593,-0.0013398529678227966,0.37407407407407406,0.5183072242969081,-0.11235022820784901,-0.4989707143853107,-0.22516397249136133
