hypothesis_id,mechanism,signal_name,state_primary,exit_bars,exit_trading_minutes,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,incremental_terminal_return_vs_static,evidence
M05,cci_oversold_reversal,cci_decision_V240620,开多,12,60,714,-0.001243494646700362,-0.0011992804317408345,0.38935574229691877,0.5392812709849021,-0.14657666297850624,-0.6033493404419064,-0.24293829984325543,0,15.0,12.0,8,23,False,0.2795,-0.25580126717570595,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,12,60,889,-0.0011564992614083696,-0.0015271323009574678,0.3700787401574803,0.5502648397769464,-0.16761303897900348,-0.6479599914171297,-0.2586780683980551,0,19.0,16.0,11,26,True,0.466,-0.27896490635219995,DIRECTION_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,12,60,1131,-0.001295170711998462,-0.001373834909121019,0.3775419982316534,0.5340193711772447,-0.2302678298109575,-0.7768821780823812,-0.29639993850720014,0,25.0,22.0,19,29,True,0.162,-0.33355331996564486,DIRECTION_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,24,120,625,-0.0010760993644072234,-0.0015238298125916927,0.3952,0.671381148311114,-0.11435105161097858,-0.5201062078019265,-0.21986096281036355,0,14.0,10.0,7,22,False,0.4925,-0.21474001312299107,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,24,120,614,-0.0011517875997221426,-0.00119928043174089,0.3973941368078176,0.6400603667973269,-0.1195204812864048,-0.5533743945003224,-0.21598484222300812,1,13.0,10.0,5,19,False,0.375,-0.22181304209236996,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,24,120,669,-0.0013467774196149831,-0.0014702151176402278,0.4110612855007474,0.6210237716853236,-0.15036785914492878,-0.6064464349811465,-0.2479491187867293,0,14.0,11.0,7,23,False,0.225,-0.2601774057024365,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,24,120,753,-0.0009689422949951886,-0.00119928043174089,0.4077025232403719,0.7132114712900811,-0.12448383399298912,-0.554617511446566,-0.22444988018554907,0,16.0,13.0,8,23,False,0.5055,-0.2284238373444889,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,24,120,560,-0.0011224799133204627,-0.00119928043174089,0.40535714285714286,0.6674258595768866,-0.107381710858096,-0.4942508927686984,-0.21726154151500734,0,12.0,9.0,5,19,False,0.4,-0.2048937479775058,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,24,120,648,-0.0010528528163147209,-0.0015428075075936132,0.3904320987654321,0.6830622754294953,-0.11609089576042719,-0.5181086045662946,-0.22406672025377022,0,14.0,10.0,7,22,False,0.5165,-0.21714217889176946,EVIDENCE_RATE_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,24,120,943,-0.0013993482275030092,-0.001436300061444018,0.4061505832449629,0.6108580666542139,-0.2117859116408488,-0.7458879648733552,-0.2839379660413318,0,20.0,17.0,15,27,True,0.114,-0.3194799838134461,DIRECTION_FAIL
