hypothesis_id,exit_bars,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M04,6,2024,159,-0.00018340570048211487,-0.000828323804231923,0.41509433962264153,0.9172397365232887,-0.03136594720836017,-0.14361436377372117,-0.21840397007767526
M04,6,2025,181,-0.0011454013903591292,-0.0013649739817688245,0.35911602209944754,0.4697484345250325,-0.18842719797120755,-0.18593429238432058,-1.013407454617001
M04,6,2026,130,-0.0005271968217389793,-0.0002181402209084915,0.47692307692307695,0.761526301618354,-0.06784197226550581,-0.10674042307852039,-0.6355790084849102
M05,6,2021,123,-0.0009847124513828246,-0.0010616097605393726,0.37398373983739835,0.47190063460059223,-0.11482722834054016,-0.13116297409373734,-0.875454594819399
M05,6,2022,151,-0.0013300104738243365,-0.001074601774948114,0.3841059602649007,0.4272974812382085,-0.18318971360672298,-0.18324632362512205,-0.9996910714644683
M05,6,2023,142,-0.0015205575141159062,-0.0012804045967481081,0.2746478873239437,0.18258023397313763,-0.19470451688374868,-0.19517632518129313,-0.9975826561079773
M05,6,2024,147,-0.0017459974044503356,-0.0016138926025870415,0.2925170068027211,0.3473836510234265,-0.22775401316210964,-0.22471695653773527,-1.013515030957908
M05,6,2025,134,-0.0010398791991779335,-0.0012814321606082757,0.3208955223880597,0.48262588068127144,-0.13112999492092747,-0.12596705195880598,-1.0409864554408235
M05,6,2026,97,-0.001807467710360079,-0.0017028985936309304,0.3402061855670103,0.4516787988412673,-0.16245183517255735,-0.18613785822690154,-0.8727501042508451
M06,6,2021,171,-0.000865682772911391,-0.0009659157776361615,0.36257309941520466,0.45769953529232726,-0.13822739615738044,-0.13731429027503517,-1.0066497513151498
M06,6,2022,180,-0.0009971307236380418,-0.0014706279999278649,0.3277777777777778,0.5662122645805547,-0.16625310198294785,-0.16631433432434317,-0.9996318276374427
M06,6,2023,173,-0.0011768963055132306,-0.00119928043174089,0.2774566473988439,0.3364007163026317,-0.18484238492387373,-0.19178817670510961,-0.9637840460211704
M06,6,2024,172,-0.001335798931734065,-0.0017478510442278106,0.32558139534883723,0.4782485098376279,-0.20702979093040086,-0.22705591056171215,-0.911800932282411
