path_id,factor_name,direction,holding_sessions,closed_events,closed_events_per_60_sessions,mean_net_return,median_net_return,win_rate,profit_factor,worst_event,positive_years,observed_years,baseline_conflict_rate,screen_pass
P019,raw__daily__cxt_five_bi_V230619__di_1,CONTINUATION,3,10,0.4366812227074236,0.0010130733132595604,-0.010684959692729201,0.4,1.075803635395122,-0.04240884738977657,1,4,0.7,False
P020,raw__daily__cxt_five_bi_V230619__di_1,CONTINUATION,5,9,0.3930131004366812,0.008206303865216024,0.010162516507109753,0.5555555555555556,1.7334431723860906,-0.03953319828283908,2,4,0.6666666666666666,False
P021,raw__daily__cxt_five_bi_V230619__di_1,CONTINUATION,10,8,0.34934497816593885,0.026322290040982063,0.01741174405631435,0.5,3.3515145010544907,-0.035484954394431556,3,4,0.875,False
P022,raw__daily__cxt_five_bi_V230619__di_1,REVERSAL,3,7,0.3056768558951965,-0.005554256335165518,0.005228682416896335,0.7142857142857143,0.5675816375977644,-0.06250765009917214,2,3,0.2857142857142857,False
P023,raw__daily__cxt_five_bi_V230619__di_1,REVERSAL,5,6,0.26200873362445415,0.016541227038609402,0.01381061500258518,0.6666666666666666,3.900599882315318,-0.02262873975732016,3,3,0.5,False
P024,raw__daily__cxt_five_bi_V230619__di_1,REVERSAL,10,5,0.2183406113537118,0.003771441804125364,-0.0003766819831978463,0.4,1.5577821724205159,-0.0318025990508598,1,3,0.8,False
P025,raw__daily__cxt_seven_bi_V230620__di_1,CONTINUATION,3,16,0.6986899563318777,-0.0011344260603040335,-0.004002568553779728,0.375,0.875392347432059,-0.047736365735260966,2,5,0.4375,False
P026,raw__daily__cxt_seven_bi_V230620__di_1,CONTINUATION,5,14,0.611353711790393,-0.00468439274310705,-0.0060243363812972905,0.42857142857142855,0.5624420911854179,-0.04624408810087699,0,5,0.5714285714285714,False
P027,raw__daily__cxt_seven_bi_V230620__di_1,CONTINUATION,10,11,0.48034934497816595,0.000319358932597703,-0.0052614477744060695,0.45454545454545453,1.0244930194506918,-0.04533919634385708,3,5,0.8181818181818182,False
P028,raw__daily__cxt_seven_bi_V230620__di_1,REVERSAL,3,3,0.13100436681222707,0.0019208946647736314,0.005228682416896335,0.6666666666666666,1.2102800982236832,-0.027404799802741686,1,1,0.3333333333333333,False
P029,raw__daily__cxt_seven_bi_V230620__di_1,REVERSAL,5,3,0.13100436681222707,0.00889040621173287,0.005916173442542583,0.6666666666666666,3.3017410130517684,-0.01158741078338632,1,1,0.3333333333333333,False
P030,raw__daily__cxt_seven_bi_V230620__di_1,REVERSAL,10,2,0.08733624454148471,-0.0010024399207371193,-0.0010024399207371193,0.0,,-0.0016281978582763923,0,1,1.0,False
P031,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,CONTINUATION,3,74,3.2314410480349345,-0.0074584287536531586,-0.007643482631119747,0.40540540540540543,0.5048498415517979,-0.09170159165941316,1,6,0.44594594594594594,False
P032,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,CONTINUATION,5,64,2.7947598253275108,-0.014642924743125193,-0.011001759967583347,0.359375,0.33200098565890646,-0.11843258250590383,0,6,0.578125,False
P033,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,CONTINUATION,10,52,2.2707423580786026,-0.016500463815638796,-0.019077566985737815,0.34615384615384615,0.43564589191759934,-0.13388442476973916,0,6,0.75,False
P034,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,REVERSAL,3,80,3.493449781659389,-0.0125858662474162,-0.012070400417538318,0.3375,0.35485490434358274,-0.09465579710144933,1,6,0.35,False
P035,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,REVERSAL,5,74,3.2314410480349345,-0.012077624873161451,-0.016468089049321566,0.35135135135135137,0.46574847716661555,-0.12316524183667532,2,6,0.44594594594594594,False
P036,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,REVERSAL,10,57,2.489082969432314,-0.008547489643610785,-0.013165947472812856,0.42105263157894735,0.6535787429174276,-0.11331316590225593,3,6,0.6842105263157895,False
P037,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,CONTINUATION,3,32,1.3973799126637554,-0.008101603449360693,-0.011062746923713396,0.375,0.5030441856048397,-0.09170159165941316,2,6,0.65625,False
P038,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,CONTINUATION,5,29,1.2663755458515285,-0.008419329421194825,-0.0002600476223765247,0.4482758620689655,0.5664953268740179,-0.09425658014982263,3,6,0.7586206896551724,False
