date,R1102,S001-v1,R0539,R1319
2023-04-06,0.018259297555309084,0.01826058957750587,0.01825952023608579,0.01825949003748506
2023-04-07,0.011954582753231913,0.011955413486104849,0.011954725930675814,0.011954706513832791
2023-04-10,-0.028689586083994856,-0.02869155619128494,-0.028689925633718638,-0.0286898795860826
2023-04-11,-0.006081145021463841,-0.006081574947544688,-0.0060812191194775655,-0.006081209070759819
2023-04-12,0.0078664520633982,0.007867011610422248,0.007866548501623383,0.007866535423262322
2023-04-13,-0.02428239016127287,-0.02428410390505531,-0.024282685526054837,-0.02428264547049641
2023-04-14,0.031108373360821062,0.031110623494818412,0.031108761172218724,0.031108708579604016
2023-04-17,0.0043099769646668395,0.0043102793082574475,0.0043100290737867475,0.004310022007068204
2023-04-18,-0.011157850031522476,-0.01115862939209189,-0.01115798435487092,-0.011157966138765185
2023-04-19,0.004339904788131843,0.004340211345305489,0.004339957623444413,0.004339950458243758
2023-04-20,0.026791138695314354,0.02679302295867414,0.026791463449314712,0.026791419408172423
2023-04-21,-0.038717312026317674,-0.038719964021434516,-0.03871776910007363,-0.03871770711455613
2023-04-24,-0.0057508149079997795,-0.0057512246844430015,-0.00575088553317904,-0.0057508759554246724
2023-04-25,0.0,0.0,0.0,0.0
2023-04-26,0.0,0.0,0.0,0.0
2023-04-27,0.0,0.0,0.0,0.0
2023-04-28,0.0,0.0,0.0,0.0
2023-05-04,0.0,-0.014984127842639805,0.0,0.0
2023-05-05,0.0,-0.014704753412656424,0.0,0.0
2023-05-08,0.0,0.010260394542870532,0.0,0.0
2023-05-09,0.0,-0.0014227896163270248,0.0,0.0
2023-05-10,0.0,0.0,0.0,0.0
2023-05-11,0.0,0.0,0.0,0.0
2023-05-12,0.0,0.0,0.0,0.0
2023-05-15,0.0,0.0,0.0,0.0
2023-05-16,0.0,0.00045395323167696233,0.0,0.0
2023-05-17,0.004273068997599383,0.0028597515860036005,0.004273202799559783,0.004273156705127956
2023-05-18,0.004752471316249229,0.004752661212897413,0.004752619496457999,0.004752568448760375
2023-05-19,0.00756798746266063,0.007568288429768311,0.007568222313412365,0.0075681414079458165
2023-05-22,-0.008450036128017424,-0.00845036964864998,-0.008450296380963507,-0.00845020672452157
2023-05-23,-0.015150307092087645,-0.015150910166800813,-0.015150777683541228,-0.015150615566019265
2023-05-24,-0.002421919293864927,-0.002422017184165348,-0.0024219956796451836,-0.002421969364935883
2023-05-25,0.0,0.0,0.0,0.0
2023-05-26,0.0,0.0,0.0,0.0
2023-05-29,-0.013625537712420921,-0.013625547455103248,-0.013625853521958442,-0.013626107015523914
2023-05-30,0.016158665037186326,0.016158676750736456,0.016159044732632966,0.016159349506227993
2023-05-31,0.007483159792058602,0.0074831651304025915,0.007483332834742562,0.0074834717323932765
2023-06-01,0.001856894509681739,0.0018568958245157585,0.0018569371300880544,0.0018569713405631738
2023-06-02,-0.0009267264216364923,-0.000926727076618783,-0.0009267476529168928,-0.0009267646948036834
2023-06-05,-0.0009275860401284364,-0.0009275866963264212,-0.0009276073108154259,-0.0009276243843334697
2023-06-06,-0.026924970390384884,-0.02692498945547983,-0.026925588386276345,-0.026926084438167797
2023-06-07,0.0033146732422175695,0.0033146756542223876,0.0033147514275027046,0.003314814185206183
2023-06-08,0.0,-0.010100586900816833,0.0,0.0
2023-06-09,0.0,0.024247064663848628,0.0,0.0
2023-06-12,-0.004296258046395107,-0.006628457469005311,-0.004296519683288036,-0.004296502859497453
2023-06-13,0.012391989788542723,0.012392133170106456,0.012392747702049123,0.012392698966639637
2023-06-14,-0.0028246864653674875,-0.0028247187483576575,-0.0028248571128254296,-0.002824846139847903
2023-06-15,0.0,0.0,0.0,0.0
2023-06-16,0.015107668909853045,0.015107842062628496,0.015108584193258334,0.015108525338670464
2023-06-19,0.0018603530163057158,0.0018603740209428565,0.0018604640464725541,0.001860456907012642
2023-06-20,0.0,0.0,0.0,0.0
2023-06-21,-0.032495724266695114,-0.03249609048397917,-0.032497660085088365,-0.03249753560813906
2023-06-26,-0.0067174326939414275,-0.00671751094013362,-0.006255274600110772,-0.006717819706757222
2023-06-27,-0.0004999687088816929,0.0009661344386806547,0.0,-0.0004999977084946261
2023-06-28,-0.003393891324267928,-0.002895605771585097,-0.0033940465752324567,0.0
2023-06-29,-0.006776049840174991,-0.006776034190742353,-0.006776360861014075,0.0
2023-06-30,0.0038984445345653373,0.0038984354695994483,0.003898624694082642,0.0
2023-07-03,0.0029124792620627282,0.0029124725160389886,0.002912613334292491,0.0
2023-07-04,0.005808042720149897,0.005808029306350715,0.005808309309440984,0.0
2023-07-05,-0.008661756230009643,-0.008661736341013526,-0.008662151508912252,0.0
2023-07-06,-0.0014703166141313284,-0.0014703132085138737,-0.001470384298262073,0.0
2023-07-07,0.0,0.0,0.0,0.0
2023-07-10,0.0,0.0,0.0,0.0
2023-07-11,0.0,0.0,0.0,0.0
2023-07-12,0.0,0.0,0.0,0.0
2023-07-13,0.0,0.0,0.0,0.0
2023-07-14,0.0,0.0,0.0,0.0
2023-07-17,0.0,0.0,0.0,0.0
2023-07-18,0.0,0.0,0.0,0.0
2023-07-19,0.0,0.0,0.0,0.0
2023-07-20,0.0,0.0,0.0,0.0
2023-07-21,0.0,0.0,0.0,0.0
2023-07-24,0.0,0.0,0.0,0.0
2023-07-25,0.0,0.0,0.0,0.0
2023-07-26,0.0,0.0,0.0,0.0
2023-07-27,0.0,0.0,0.0,0.0
2023-07-28,0.0,0.0,0.0,0.0
2023-07-31,0.0,0.0,0.0,0.0
