scenario_id,window_id,metric,standard_advantage,stress_advantage,advantage_shrinkage
fee_x2,full,max_drawdown,0.023626873129304005,0.03269293905953041,-0.38371839898619187
fee_x2,full,calmar,0.29583613769563555,0.2977914065799815,-0.006609296955997879
fee_x2,full,profit_factor,0.41187900951940737,0.37486475871670777,0.08986680541426217
slippage_15bp,2021,net_cagr,0.0010187939248492706,0.0009671174719592113,0.050723165528990366
slippage_15bp,2021,max_drawdown,-0.0003125459180371992,-0.0003149990071147357,
slippage_15bp,2021,calmar,0.0064370630940839,0.005803960512087758,0.09835270724284284
slippage_15bp,2021,profit_factor,0.0002901765698581915,-0.00950757883988429,33.764805389114
slippage_15bp,2022,net_cagr,0.053678794036955635,0.05179720164739021,0.03505280666830968
slippage_15bp,2022,max_drawdown,0.012026553616150903,0.014603876609704303,-0.21430270681138586
slippage_15bp,2022,calmar,0.6088649948536458,0.5194857729831404,0.14679645344365655
slippage_15bp,2022,profit_factor,0.33264366994316585,0.2833822979439595,0.148090513815047
slippage_15bp,2023,net_cagr,0.01120827317638784,0.0019460703391658285,0.8263719746530125
slippage_15bp,2023,max_drawdown,0.011588381913038015,0.016788448602178874,-0.4487310418454795
slippage_15bp,2023,calmar,0.06349178967224375,-0.028236224948142985,1.444722460870981
slippage_15bp,2023,profit_factor,0.10683376791190635,0.09340798989356947,0.1256697978621104
slippage_15bp,2024,net_cagr,0.06290316678616348,0.06049695299210178,0.03825266543799799
slippage_15bp,2024,max_drawdown,-1.0224635581534969e-06,-4.533408864970667e-06,
slippage_15bp,2024,calmar,0.3450196740238358,0.3318031193835971,0.038306669547562344
slippage_15bp,2024,profit_factor,0.749204760746029,0.6122480710609688,0.1828027488088625
slippage_15bp,2025,net_cagr,0.049628545943901425,0.04771678275849389,0.03852144263038715
slippage_15bp,2025,max_drawdown,0.022105739793054524,0.021843580820439135,0.011859316859314406
slippage_15bp,2025,calmar,1.0923167394601165,0.8733941084859751,0.20042046694472992
slippage_15bp,2025,profit_factor,2.4315967681952033,1.6611664274916285,0.3168413245076851
slippage_15bp,2026_ytd,net_cagr,0.14159646515882196,0.13702284936321485,0.032300352911191044
slippage_15bp,2026_ytd,max_drawdown,-6.809080486558372e-06,-0.0012357198382449974,
slippage_15bp,2026_ytd,calmar,1.1709847523179207,1.0314454681176706,0.11916404882645759
slippage_15bp,2026_ytd,profit_factor,30.5337188978773,18.35529552112014,0.3988516242482275
slippage_15bp,full,net_cagr,0.041265943516339165,0.03767878251117396,0.08692788046261146
slippage_15bp,full,max_drawdown,0.023626873129304005,0.07068515031749734,-1.991726832859138
slippage_15bp,full,calmar,0.29583613769563555,0.3191370554369366,-0.07876291896858678
slippage_15bp,full,profit_factor,0.41187900951940737,0.31211001564539886,0.24222888656166752
slippage_30bp,2021,net_cagr,0.0010187939248492706,0.0009355754776824154,0.08168329741381919
slippage_30bp,2021,max_drawdown,-0.0003125459180371992,-0.00030164568504664757,
slippage_30bp,2021,calmar,0.0064370630940839,0.005302828902052192,0.17620367789685742
slippage_30bp,2021,profit_factor,0.0002901765698581915,-0.014811337788437906,52.04250076316005
slippage_30bp,2022,net_cagr,0.053678794036955635,0.04996428297458244,0.06919885457590391
slippage_30bp,2022,max_drawdown,0.012026553616150903,0.017146796167796796,-0.4257447906580427
slippage_30bp,2022,calmar,0.6088649948536458,0.4319066255515744,0.2906364642372111
slippage_30bp,2022,profit_factor,0.33264366994316585,0.24154679255503675,0.27385724010227985
slippage_30bp,2023,net_cagr,0.01120827317638784,-0.00645012239743592,1.575478692919817
slippage_30bp,2023,max_drawdown,0.011588381913038015,0.01719583938692082,-0.4838861470015834
slippage_30bp,2023,calmar,0.06349178967224375,-0.08544813364731618,2.3458139089859507
slippage_30bp,2023,profit_factor,0.10683376791190635,0.07566433286031388,0.29175639557423794
slippage_30bp,2024,net_cagr,0.06290316678616348,0.058183582382044685,0.07502936092490875
slippage_30bp,2024,max_drawdown,-1.0224635581534969e-06,-3.3179527902937878e-06,
slippage_30bp,2024,calmar,0.3450196740238358,0.31912678128874905,0.0750475833250539
slippage_30bp,2024,profit_factor,0.749204760746029,0.48969155705330025,0.3463848833986527
slippage_30bp,2025,net_cagr,0.049628545943901425,0.045890183191009015,0.0753268644444699
slippage_30bp,2025,max_drawdown,0.022105739793054524,0.021585752638319744,0.02352272122999277
slippage_30bp,2025,calmar,1.0923167394601165,0.7064071383915089,0.35329459590571277
slippage_30bp,2025,profit_factor,2.4315967681952033,1.1501972198841388,0.5269786360434069
slippage_30bp,2026_ytd,net_cagr,0.14159646515882196,0.13259680085978554,0.06355853791224186
